"","aid","ID_zhang","type","Journal","WOS_biodiversity","Scopus_NLC","use","issn","eissn","issn_scopus","eissn_scopus","issn_clean","eissn_clean"
"24",24,15,"specialist","AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS","N","Y","Y",NA,NA,"1052-7613","1099-0755","1052-7613","1099-0755"
"25",25,16,"specialist","AQUATIC MAMMALS","N","Y","Y",NA,NA,"0167-5427","1996-7292","0167-5427","1996-7292"
"26",26,17,"specialist","ARCHIDOCT","N","Y","Y",NA,NA,NA,"2309-0103",NA,"2309-0103"
"27",27,18,"specialist","ARCHITECTURE AND URBAN PLANNING","N","Y","Y",NA,NA,"1691-4333","2255-8764","1691-4333","2255-8764"
"28",28,19,"specialist","AREA DEVELOPMENT AND POLICY","N","Y","Y",NA,NA,NA,"2379-2957",NA,"2379-2957"
"29",29,20,"specialist","ASIAN JOURNAL OF CONSERVATION BIOLOGY","N","Y","Y",NA,NA,NA,"2278-7666",NA,"2278-7666"
"30",30,21,"specialist","ASIA-PACIFIC JOURNAL OF INNOVATION IN HOSPITALITY AND TOURISM","N","Y","Y",NA,NA,"2289-1471",NA,"2289-1471",NA
"31",31,22,"specialist","ATELIE GEOGRAFICO","N","Y","Y",NA,NA,NA,"1982-1956",NA,"1982-1956"
"32",32,23,"specialist","AUSTRIAN JOURNAL OF FOREST SCIENCE","N","Y","Y",NA,NA,"0379-5292",NA,"0379-5292",NA
"33",33,24,"specialist","AVIAN CONSERVATION AND ECOLOGY","Y","Y","Y","1712-6568",NA,"1712-6568","1712-6576","1712-6568","1712-6576"
"34",34,NA,"specialist","Banko Janakari",NA,"Y","Y",NA,NA,"1016-0582","2631-2301","1016-0582","2631-2301"
"35",35,25,"specialist","BIODIVERSITY","N","Y","Y",NA,NA,"1488-8386","2160-0651","1488-8386","2160-0651"
"36",36,26,"specialist","BIODIVERSITY AND CONSERVATION","Y","Y","Y","0960-3115","1572-9710","0960-3115","1572-9710","0960-3115","1572-9710"
"37",37,195,"specialist","BIODIVERSITY DATA JOURNAL","Y","N","Y","1314-2836","1314-2828",NA,"1314-2828","1314-2836","1314-2828"
"38",38,27,"specialist","BIODIVERSITY SCIENCE","N","Y","Y",NA,NA,"1005-0094",NA,"1005-0094",NA
"39",39,196,"specialist","BIOINVASIONS RECORDS","Y","N","Y","2242-1300","2242-1300",NA,"2242-1300","2242-1300","2242-1300"
"40",40,28,"specialist","BIOLOGICAL CONSERVATION","Y","Y","Y","0006-3207","1873-2917","0006-3207",NA,"0006-3207","1873-2917"
"41",41,NA,"specialist","BIOLOGICAL INVASIONS","Y","N","Y","1387-3547","1573-1464","1387-3547","1573-1464","1387-3547","1573-1464"
"42",42,29,"specialist","BIOTA COLOMBIANA","N","Y","Y",NA,NA,"0124-5376","2539-200X","0124-5376","2539-200X"
"43",43,197,"specialist","BIOTA NEOTROPICA","Y","N","Y","1676-0603","1676-0603","1676-0611","1676-0603","1676-0603","1676-0603"
"44",44,30,"specialist","BIRD CONSERVATION INTERNATIONAL","Y","Y","Y","0959-2709","1474-0001","0959-2709","1474-0001","0959-2709","1474-0001"
"45",45,31,"specialist","BIRD STUDY","N","Y","Y",NA,NA,"0006-3657","1944-6705","0006-3657","1944-6705"
"46",46,32,"specialist","BRITISH WILDLIFE","N","Y","Y",NA,NA,"0958-0956",NA,"0958-0956",NA
"47",47,198,"specialist","BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY","Y","N","Y","0003-0090","1937-3546","0003-0090",NA,"0003-0090","1937-3546"
"48",48,199,"specialist","BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY","Y","N","Y","0079-032X","2162-4135","0079-032X","2162-4135","0079-032X","2162-4135"
"49",49,33,"specialist","CAB REVIEWS: PERSPECTIVES IN AGRICULTURE, VETERINARY SCIENCE, NUTRITION AND NATURAL RESOURCES","N","Y","Y",NA,NA,"1749-8848",NA,"1749-8848",NA
"50",50,200,"specialist","CANADIAN FIELD-NATURALIST","Y","N","Y",NA,NA,"0008-3550",NA,"0008-3550",NA
"51",51,201,"specialist","CARIBBEAN JOURNAL OF SCIENCE","Y","N","Y","0008-6452","0008-6452","0008-6452",NA,"0008-6452","0008-6452"
"52",52,34,"specialist","CHALLENGES IN SUSTAINABILITY","N","Y","Y",NA,NA,NA,"2297-6477",NA,"2297-6477"
"53",53,35,"specialist","CHANGE OVER TIME","N","Y","Y",NA,NA,"2153-053X","2153-0548","2153-053X","2153-0548"
"54",54,NA,"specialist","Changjiang Liuyu Ziyuan Yu Huanjing/Resources and Environment in the Yangtze Valley",NA,"Y","Y",NA,NA,"1004-8227",NA,"1004-8227",NA
"55",55,NA,"specialist","Coastal Research Library",NA,"Y","Y",NA,NA,"2211-0577","2211-0585","2211-0577","2211-0585"
"56",56,36,"specialist","COLOMBIA FORESTAL","N","Y","Y",NA,NA,"0120-0739","2256-201X","0120-0739","2256-201X"
"57",57,37,"specialist","CONSERVATION AND SOCIETY","N","Y","Y",NA,NA,"0972-4923","0975-3133","0972-4923","0975-3133"
"58",58,38,"specialist","CONSERVATION BIOLOGY","Y","Y","Y","0888-8892","1523-1739","0888-8892","1523-1739","0888-8892","1523-1739"
"59",59,39,"specialist","CONSERVATION EVIDENCE","N","Y","Y",NA,NA,"1758-2067",NA,"1758-2067",NA
"60",60,202,"specialist","CONSERVATION GENETICS","Y","N","Y","1566-0621","1572-9737","1566-0621","1572-9737","1566-0621","1572-9737"
"61",61,203,"specialist","CONSERVATION GENETICS RESOURCES","Y","N","Y","1877-7252","1877-7260","1877-7252","1877-7260","1877-7252","1877-7260"
"62",62,40,"specialist","CONSERVATION LETTERS","Y","Y","Y","1755-263X","1755-263X","1755-263X",NA,"1755-263X","1755-263X"
"63",63,41,"specialist","CONSERVATION PHYSIOLOGY","Y","Y","Y","2051-1434","2051-1434",NA,"2051-1434","2051-1434","2051-1434"
"64",64,204,"specialist","CONSERVATION SCIENCE AND PRACTICE","Y","N","Y",NA,"2578-4854",NA,"2578-4854",NA,"2578-4854"
"65",65,42,"specialist","CONSERVATION SCIENCE WESTERN AUSTRALIA","N","Y","Y",NA,NA,"1447-3682",NA,"1447-3682",NA
"66",66,43,"specialist","CUADERNOS DE TURISMO","N","Y","Y",NA,NA,"1139-7861","1989-4635","1139-7861","1989-4635"
"67",67,44,"specialist","CURRENT ENVIRONMENTAL HEALTH REPORTS","N","Y","Y",NA,NA,NA,"2196-5412",NA,"2196-5412"
"68",68,45,"specialist","CURRENT FORESTRY REPORTS","N","Y","Y",NA,NA,NA,"2198-6436",NA,"2198-6436"
"69",69,46,"specialist","DIVERSITY","Y","Y","Y",NA,"1424-2818","1424-2818",NA,"1424-2818","1424-2818"
"70",70,205,"specialist","DIVERSITY AND DISTRIBUTIONS","Y","N","Y","1366-9516","1472-4642","1366-9516","1472-4642","1366-9516","1472-4642"
"71",71,206,"specialist","DODO","Y","N","Y",NA,NA,"0265-5640",NA,"0265-5640",NA
"72",72,47,"specialist","ECO.MONT","N","Y","Y","2073-106X","2073-1558","2073-106X","2073-1558","2073-106X","2073-1558"
"73",73,207,"specialist","ECOGRAPHY","Y","N","Y","0906-7590","1600-0587","0906-7590","1600-0587","0906-7590","1600-0587"
"74",74,48,"specialist","ECOLOGIA BALKANICA","N","Y","Y",NA,NA,"1314-0213","1313-9940","1314-0213","1313-9940"
"75",75,49,"specialist","ECOLOGICAL ENGINEERING","N","Y","Y",NA,NA,"0925-8574",NA,"0925-8574",NA
"76",76,50,"specialist","ECOLOGICAL ENGINEERING: X","N","Y","Y",NA,NA,NA,"2590-2903",NA,"2590-2903"
"77",77,51,"specialist","ECOLOGICAL MANAGEMENT AND RESTORATION","N","Y","Y",NA,NA,"1442-7001","1442-8903","1442-7001","1442-8903"
"78",78,52,"specialist","ECOLOGICAL RESTORATION","N","Y","Y",NA,NA,"1522-4740","1543-4079","1522-4740","1543-4079"
"79",79,53,"specialist","ECOLOGY AND EVOLUTION","N","Y","Y",NA,NA,"2045-7758",NA,"2045-7758",NA
"80",80,NA,"specialist","Ecology, Economy and Society",NA,"Y","Y",NA,NA,"2581-6152","2581-6101","2581-6152","2581-6101"
"81",81,54,"specialist","ECOLOGY, ENVIRONMENT AND CONSERVATION","N","Y","Y",NA,NA,"0971-765X",NA,"0971-765X",NA
"82",82,55,"specialist","ECOSYSTEM SERVICES","N","Y","Y",NA,NA,"2212-0416",NA,"2212-0416",NA
"83",83,56,"specialist","ECOSYSTEMS AND PEOPLE","N","Y","Y",NA,NA,"2639-5908","2639-5916","2639-5908","2639-5916"
"84",84,57,"specialist","EFI NEWS","N","Y","Y",NA,NA,"1236-7850",NA,"1236-7850",NA
"85",85,58,"specialist","EKOLOJI","N","Y","Y",NA,NA,"1300-1361",NA,"1300-1361",NA
"86",86,59,"specialist","EMU","N","Y","Y",NA,NA,"0158-4197","1448-5540","0158-4197","1448-5540"
"87",87,60,"specialist","ENDANGERED SPECIES RESEARCH","Y","Y","Y","1863-5407","1613-4796","1863-5407","1613-4796","1863-5407","1613-4796"
"88",88,61,"specialist","ENVIRONMENT AND ECOLOGY RESEARCH","N","Y","Y",NA,NA,"2331-625X","2331-6268","2331-625X","2331-6268"
"89",89,62,"specialist","ENVIRONMENT AND PLANNING B: PLANNING AND DESIGN","N","Y","Y",NA,NA,"0265-8135","1472-3417","0265-8135","1472-3417"
"90",90,63,"specialist","ENVIRONMENT AND PLANNING B: URBAN ANALYTICS AND CITY SCIENCE","N","Y","Y",NA,NA,"2399-8083","2399-8091","2399-8083","2399-8091"
"91",91,64,"specialist","ENVIRONMENT AND SOCIETY: ADVANCES IN RESEARCH","N","Y","Y",NA,NA,"2150-6779","2150-6787","2150-6779","2150-6787"
"92",92,65,"specialist","ENVIRONMENTAL AND SOCIO-ECONOMIC STUDIES","N","Y","Y",NA,NA,NA,"2354-0079",NA,"2354-0079"
"93",93,66,"specialist","ENVIRONMENTAL CONSERVATION","Y","Y","Y","0376-8929","1469-4387","0376-8929","1469-4387","0376-8929","1469-4387"
"94",94,67,"specialist","ENVIRONMENTAL GEOTECHNICS","N","Y","Y",NA,NA,NA,"2051-803X",NA,"2051-803X"
"95",95,68,"specialist","E-REVIEW OF TOURISM RESEARCH","N","Y","Y",NA,NA,"1941-5842",NA,"1941-5842",NA
"96",96,69,"specialist","ETHNOBIOLOGY AND CONSERVATION","Y","Y","Y",NA,NA,"2238-4782",NA,"2238-4782",NA
"97",97,70,"specialist","ETHNOBOTANY RESEARCH AND APPLICATIONS","N","Y","Y",NA,NA,"1547-3465",NA,"1547-3465",NA
"98",98,71,"specialist","EUROPEAN COUNTRYSIDE","N","Y","Y",NA,NA,NA,"1803-8417",NA,"1803-8417"
"99",99,72,"specialist","EUROPEAN JOURNAL OF ENVIRONMENTAL SCIENCES","N","Y","Y",NA,NA,"1805-0174","2336-1964","1805-0174","2336-1964"
"100",100,73,"specialist","EUROPEAN JOURNAL OF WILDLIFE RESEARCH","N","Y","Y",NA,NA,"1612-4642",NA,"1612-4642",NA
"101",101,74,"specialist","FISHERIES","N","Y","Y",NA,NA,"0363-2415","1548-8446","0363-2415","1548-8446"
"102",102,75,"specialist","FLORESTA","N","Y","Y",NA,NA,"0015-3826","1982-4688","0015-3826","1982-4688"
"103",103,NA,"specialist","Food Webs","Y","N","Y","2352-2496","2352-2496","2352-2496",NA,"2352-2496","2352-2496"
"104",104,NA,"specialist","Folia Malacologica",NA,"Y","N",NA,NA,"1506-7629","2300-7125","1506-7629","2300-7125"
"105",105,76,"specialist","FOREST AND SOCIETY","N","Y","Y",NA,NA,"2549-4724","2549-4333","2549-4724","2549-4333"
"106",106,77,"specialist","FOREST ECOLOGY AND MANAGEMENT","N","Y","Y",NA,NA,"0378-1127",NA,"0378-1127",NA
"107",107,78,"specialist","FOREST ECOSYSTEMS","N","Y","Y",NA,NA,"2095-6355","2197-5620","2095-6355","2197-5620"
"108",108,79,"specialist","FORESTRY IDEAS","N","Y","Y",NA,NA,"1314-3905",NA,"1314-3905",NA
"109",109,NA,"specialist","Frontiers in Forests and Global Change",NA,"Y","Y",NA,NA,NA,"2624-893X",NA,"2624-893X"
"110",110,80,"specialist","FORSTARCHIV","N","Y","Y",NA,NA,"0300-4112",NA,"0300-4112",NA
"111",111,81,"specialist","GEOGRAPHY AND SUSTAINABILITY","N","Y","Y",NA,NA,"2096-7438","2666-6839","2096-7438","2666-6839"
"112",112,82,"specialist","GEOHERITAGE","N","Y","Y",NA,NA,"1867-2477","1867-2485","1867-2477","1867-2485"
"113",113,NA,"specialist","Geology, Ecology, and Landscapes",NA,"Y","Y",NA,NA,NA,"2474-9508",NA,"2474-9508"
"114",114,83,"specialist","GEOSCAPE","N","Y","Y",NA,NA,NA,"1802-1115",NA,"1802-1115"
"115",115,208,"specialist","GLOBAL CHANGE BIOLOGY","Y","N","Y",NA,NA,"1354-1013","1365-2486","1354-1013","1365-2486"
"116",116,84,"specialist","GLOBAL ECOLOGY AND CONSERVATION","Y","Y","Y","N/A","2351-9894",NA,"2351-9894","N/A","2351-9894"
"117",117,85,"specialist","HABITAT INTERNATIONAL","N","Y","Y",NA,NA,"0197-3975",NA,"0197-3975",NA
"118",118,86,"specialist","HERPETOLOGICAL JOURNAL","N","Y","Y",NA,NA,"0268-0130",NA,"0268-0130",NA
"119",119,87,"specialist","HUMAN DIMENSIONS OF WILDLIFE","Y","Y","Y","1087-1209","1533-158X","1087-1209","1533-158X","1087-1209","1533-158X"
"120",120,88,"specialist","HUMAN-WILDLIFE INTERACTIONS","Y","Y","Y","1934-4392","1936-8046","2155-3858","2155-3874","1934-4392","1936-8046"
"121",121,89,"specialist","IBIS","N","Y","Y",NA,NA,"0019-1019","1474-919X","0019-1019","1474-919X"
"122",122,90,"specialist","IFOREST","N","Y","Y",NA,NA,"1971-7458",NA,"1971-7458",NA
"123",123,91,"specialist","INTERNATIONAL JOURNAL OF BIODIVERSITY SCIENCE, ECOSYSTEM SERVICES AND MANAGEMENT","N","Y","Y",NA,NA,"2151-3732","2151-3740","2151-3732","2151-3740"
"124",124,92,"specialist","INTERNATIONAL JOURNAL OF CONSERVATION SCIENCE","N","Y","Y",NA,NA,"2067-533X","2067-8223","2067-533X","2067-8223"
"125",125,93,"specialist","INTERNATIONAL JOURNAL OF FORESTRY RESEARCH","N","Y","Y",NA,NA,"1687-9368","1687-9376","1687-9368","1687-9376"
"126",126,94,"specialist","INTERNATIONAL JOURNAL OF GEOHERITAGE AND PARKS","N","Y","Y",NA,NA,"2577-4441","2577-445X","2577-4441","2577-445X"
"127",127,95,"specialist","INTERNATIONAL JOURNAL OF TOURISM RESEARCH","N","Y","Y",NA,NA,"1099-2340","1522-1970","1099-2340","1522-1970"
"128",128,96,"specialist","INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH","N","Y","Y",NA,NA,"2095-6339",NA,"2095-6339",NA
"129",129,97,"specialist","INTERNATIONAL ZOO YEARBOOK","N","Y","Y",NA,NA,"1748-1090","0074-9664","1748-1090","0074-9664"
"130",130,98,"specialist","JAPANESE JOURNAL OF CONSERVATION ECOLOGY","N","Y","Y",NA,NA,"1342-4327",NA,"1342-4327",NA
"131",131,99,"specialist","JOURNAL FOR NATURE CONSERVATION","Y","Y","Y","1617-1381","1618-1093","1617-1381",NA,"1617-1381","1618-1093"
"132",132,100,"specialist","JOURNAL OF AGRO-ENVIRONMENT SCIENCE","N","Y","Y",NA,NA,"1672-2043",NA,"1672-2043",NA
"133",133,209,"specialist","JOURNAL OF APPLIED ECOLOGY","Y","N","Y","0021-8901","1365-2664","0021-8901","1365-2664","0021-8901","1365-2664"
"134",134,210,"specialist","JOURNAL OF ASIA-PACIFIC BIODIVERSITY","Y","N","Y",NA,NA,"2287-884X","2287-9544","2287-884X","2287-9544"
"135",135,101,"specialist","JOURNAL OF COASTAL CONSERVATION","N","Y","Y",NA,NA,"1400-0350","1874-7841","1400-0350","1874-7841"
"136",136,102,"specialist","JOURNAL OF DEGRADED AND MINING LANDS MANAGEMENT","N","Y","Y",NA,NA,"2339-076X","2502-2458","2339-076X","2502-2458"
"137",137,103,"specialist","JOURNAL OF DESIGN AND BUILT ENVIRONMENT","N","Y","Y",NA,NA,"1823-4208","2232-1500","1823-4208","2232-1500"
"138",138,104,"specialist","JOURNAL OF DIGITAL LANDSCAPE ARCHITECTURE","N","Y","Y",NA,NA,"2367-4253","2511-624X","2367-4253","2511-624X"
"139",139,105,"specialist","JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT","N","Y","Y",NA,NA,"1648-6897","1822-4199","1648-6897","1822-4199"
"140",140,106,"specialist","JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY","N","Y","Y",NA,NA,"1311-5065",NA,"1311-5065",NA
"141",141,211,"specialist","JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE","Y","N","Y",NA,"1746-4269","1746-4269",NA,"1746-4269","1746-4269"
"142",142,107,"specialist","JOURNAL OF FISH AND WILDLIFE MANAGEMENT","Y","Y","Y","1944-687X",NA,"1944-687X",NA,"1944-687X",NA
"143",143,108,"specialist","JOURNAL OF GREEN BUILDING","N","Y","Y",NA,NA,"1552-6100","1943-4618","1552-6100","1943-4618"
"144",144,109,"specialist","JOURNAL OF INSECT CONSERVATION","N","Y","N",NA,NA,"1366-638X","1572-9753","1366-638X","1572-9753"
"145",145,110,"specialist","JOURNAL OF LANDSCAPE ECOLOGY","N","Y","Y",NA,NA,"1589-4673",NA,"1589-4673",NA
"146",146,111,"specialist","JOURNAL OF LANDSCAPE ECOLOGY(CZECH REPUBLIC)","N","Y","Y",NA,NA,"1803-2427","1805-4196","1803-2427","1805-4196"
"147",147,112,"specialist","JOURNAL OF MAMMALOGY","N","Y","Y",NA,NA,"0022-2372","1545-1542","0022-2372","1545-1542"
"148",148,113,"specialist","JOURNAL OF MARINE AND ISLAND CULTURES","N","Y","Y",NA,NA,NA,"2212-6821",NA,"2212-6821"
"149",149,114,"specialist","JOURNAL OF MOUNTAIN SCIENCE","N","Y","Y",NA,NA,"1672-6316","1993-0321","1672-6316","1993-0321"
"150",150,NA,"specialist","Journal of Nanjing Forestry University (Natural Sciences Edition)",NA,"Y","Y",NA,NA,"1000-2006",NA,"1000-2006",NA
"151",151,212,"specialist","JOURNAL OF NATURAL HISTORY","Y","N","Y","0022-2933","1464-5262","0022-2933","1464-5262","0022-2933","1464-5262"
"152",152,115,"specialist","JOURNAL OF NEW ZEALAND GRASSLANDS","N","Y","Y",NA,NA,"2463-2872","2463-2880","2463-2872","2463-2880"
"153",153,NA,"specialist","Journal of Park and Recreation Administration",NA,"Y","Y",NA,NA,"0735-1968","2160-6862","0735-1968","2160-6862"
"154",154,116,"specialist","JOURNAL OF PEOPLE, PLANTS, AND ENVIRONMENT","N","Y","N",NA,NA,"2508-7673","2508-7681","2508-7673","2508-7681"
"155",155,117,"specialist","JOURNAL OF RANGELAND SCIENCE","N","Y","Y",NA,NA,"2008-9996","2423-642X","2008-9996","2423-642X"
"156",156,118,"specialist","JOURNAL OF SOIL AND WATER CONSERVATION","N","Y","Y",NA,NA,"0022-4561","1941-3300","0022-4561","1941-3300"
"157",157,119,"specialist","JOURNAL OF SUSTAINABLE REAL ESTATE","N","Y","Y",NA,NA,"1949-8276","1949-8284","1949-8276","1949-8284"
"158",158,120,"specialist","JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS","N","Y","Y",NA,NA,"2333-5955","2333-5963","2333-5955","2333-5963"
"159",159,121,"specialist","JOURNAL OF THE BOMBAY NATURAL HISTORY SOCIETY","N","Y","Y",NA,NA,"0006-6982",NA,"0006-6982",NA
"160",160,122,"specialist","JOURNAL OF THREATENED TAXA","N","Y","Y",NA,NA,"0974-7893","0974-7907","0974-7893","0974-7907"
"161",161,123,"specialist","JOURNAL OF TOURISM AND CULTURAL CHANGE","N","Y","Y",NA,NA,"1476-6825",NA,"1476-6825",NA
"162",162,124,"specialist","JOURNAL OF TOURISM FUTURES","N","Y","Y",NA,NA,"2055-5911","2055-592X","2055-5911","2055-592X"
"163",163,125,"specialist","JOURNAL OF WILDLIFE MANAGEMENT","N","Y","Y",NA,NA,"0022-541X","1937-2817","0022-541X","1937-2817"
"164",164,126,"specialist","KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS","N","Y","Y",NA,NA,"1961-9502",NA,"1961-9502",NA
"165",165,213,"specialist","KOEDOE","Y","N","Y","0075-6458","2071-0771","0075-6458","2071-0771","0075-6458","2071-0771"
"166",166,127,"specialist","LAND","N","Y","Y",NA,NA,NA,"2073-445X",NA,"2073-445X"
"167",167,128,"specialist","LAND USE POLICY","N","Y","Y",NA,NA,"0264-8377",NA,"0264-8377",NA
"168",168,129,"specialist","LANDSCAPE AND ECOLOGICAL ENGINEERING","Y","Y","Y","1860-1871","1860-188X","1860-1871","1860-188X","1860-1871","1860-188X"
"169",169,130,"specialist","LANDSCAPE AND URBAN PLANNING","N","Y","Y",NA,NA,"0169-2046",NA,"0169-2046",NA
"170",170,131,"specialist","LANDSCAPE ARCHITECTURE","N","Y","Y",NA,NA,"0023-8031",NA,"0023-8031",NA
"171",171,132,"specialist","LANDSCAPE ARCHITECTURE AND ART","N","Y","Y",NA,NA,"2255-8632","2255-8640","2255-8632","2255-8640"
"172",172,133,"specialist","LANDSCAPE ECOLOGY","N","Y","Y",NA,NA,"0921-2973","1572-9761","0921-2973","1572-9761"
"173",173,134,"specialist","LANDSCAPE HISTORY","N","Y","Y",NA,NA,"0143-3768","2160-2506","0143-3768","2160-2506"
"174",174,135,"specialist","LANDSCAPE JOURNAL","N","Y","Y",NA,NA,"0277-2426","1553-2704","0277-2426","1553-2704"
"175",175,136,"specialist","LANDSCAPE ONLINE","N","Y","Y",NA,NA,"1865-1542",NA,"1865-1542",NA
"176",176,137,"specialist","LANDSCAPE RESEARCH","N","Y","Y",NA,NA,"0142-6397","1469-9710","0142-6397","1469-9710"
"177",177,138,"specialist","LANDSCAPES","N","Y","Y",NA,NA,"1492-9600",NA,"1492-9600",NA
"178",178,139,"specialist","LANDSCAPES (UNITED KINGDOM)","N","Y","Y",NA,NA,"1466-2035","2040-8153","1466-2035","2040-8153"
"179",179,140,"specialist","LANDSCHAP","N","Y","Y",NA,NA,"0169-6300",NA,"0169-6300",NA
"180",180,141,"specialist","LIVING REVIEWS IN LANDSCAPE RESEARCH","N","Y","Y",NA,NA,"1863-7329",NA,"1863-7329",NA
"181",181,142,"specialist","MALAYAN NATURE JOURNAL","N","Y","Y","1989-8649",NA,"0025-1291",NA,"1989-8649",NA
"182",182,214,"specialist","MANAGEMENT OF BIOLOGICAL INVASIONS","Y","N","Y",NA,NA,NA,"1989-8649",NA,"1989-8649"
"183",183,215,"specialist","MARINE BIODIVERSITY","Y","N","Y","1867-1616","1867-1624","1867-1616","1867-1624","1867-1616","1867-1624"
"184",184,143,"specialist","MEMOIRS OF THE QUEENSLAND MUSEUM: CULTURAL HERITAGE SERIES","N","Y","Y",NA,NA,"1440-4788",NA,"1440-4788",NA
"185",185,144,"specialist","METABARCODING AND METAGENOMICS","N","Y","Y",NA,NA,NA,"2534-9708",NA,"2534-9708"
"186",186,145,"specialist","MIRES AND PEAT","N","Y","Y",NA,NA,NA,"1819-754X",NA,"1819-754X"
"187",187,146,"specialist","NAKHARA: JOURNAL OF ENVIRONMENTAL DESIGN AND PLANNING","N","Y","Y",NA,NA,"2672-9016","2651-2416","2672-9016","2651-2416"
"188",188,147,"specialist","NATUR UND LANDSCHAFT","N","Y","Y",NA,NA,"0028-0615",NA,"0028-0615",NA
"189",189,148,"specialist","NATURAL AREAS JOURNAL","N","Y","Y",NA,NA,"0885-8608",NA,"0885-8608",NA
"190",190,217,"specialist","NATURAL HISTORY","Y","N","Y","0028-0712",NA,"0028-0712",NA,"0028-0712",NA
"191",191,NA,"specialist","Natural Resource Management and Policy",NA,"Y","Y",NA,NA,"0929-127X","2511-8560","0929-127X","2511-8560"
"192",192,149,"specialist","NATURE CONSERVATION","N","Y","Y","1314-6947","1314-3301","1314-6947","1314-3301","1314-6947","1314-3301"
"193",193,150,"specialist","NATURE CONSERVATION RESEARCH","Y","Y","Y",NA,NA,"2500-008X",NA,"2500-008X",NA
"194",194,NA,"specialist","Nature Reviews Earth and Environment",NA,"Y","Y",NA,NA,NA,"2662-138X",NA,"2662-138X"
