"","aid","ID_zhang","type","Journal","WOS_biodiversity","Scopus_NLC","use","issn_wos","eissn_wos","issn_scopus","eissn_scopus","issn_clean","eissn_clean","flag_conservation"
"110",110,81,"specialist","GEOGRAPHY AND SUSTAINABILITY","N","Y","Y",NA,NA,"2096-7438","2666-6839","2096-7438","2666-6839",0
"111",111,82,"specialist","GEOHERITAGE","N","Y","N",NA,NA,"1867-2477","1867-2485","1867-2477","1867-2485",0
"112",112,NA,"specialist","Geology, Ecology, and Landscapes",NA,"Y","Y",NA,NA,NA,"2474-9508",NA,"2474-9508",0
"113",113,83,"specialist","GEOSCAPE","N","Y","Y",NA,NA,NA,"1802-1115",NA,"1802-1115",0
"114",114,208,"specialist","GLOBAL CHANGE BIOLOGY","Y","N","Y",NA,NA,"1354-1013","1365-2486","1354-1013","1365-2486",0
"115",115,84,"specialist","GLOBAL ECOLOGY AND CONSERVATION","Y","Y","Y",NA,"2351-9894",NA,"2351-9894",NA,"2351-9894",1
"116",116,85,"specialist","HABITAT INTERNATIONAL","N","Y","Y",NA,NA,"0197-3975",NA,"0197-3975",NA,0
"117",117,86,"specialist","HERPETOLOGICAL JOURNAL","N","Y","Y",NA,NA,"0268-0130",NA,"0268-0130",NA,0
"118",118,87,"specialist","HUMAN DIMENSIONS OF WILDLIFE","Y","Y","Y","1087-1209","1533-158X","1087-1209","1533-158X","1087-1209","1533-158X",0
"119",119,88,"specialist","HUMAN-WILDLIFE INTERACTIONS","Y","Y","Y",NA,NA,NA,NA,"2155-3858","2155-3874",0
"120",120,89,"specialist","IBIS","N","Y","Y",NA,NA,"0019-1019","1474-919X","0019-1019","1474-919X",0
"121",121,90,"specialist","IFOREST","N","Y","Y",NA,NA,"1971-7458",NA,"1971-7458",NA,0
"122",122,91,"specialist","INTERNATIONAL JOURNAL OF BIODIVERSITY SCIENCE, ECOSYSTEM SERVICES AND MANAGEMENT","N","Y","Y",NA,NA,"2151-3732","2151-3740","2151-3732","2151-3740",0
"123",123,92,"specialist","INTERNATIONAL JOURNAL OF CONSERVATION SCIENCE","N","Y","Y",NA,NA,"2067-533X","2067-8223","2067-533X","2067-8223",1
"124",124,93,"specialist","INTERNATIONAL JOURNAL OF FORESTRY RESEARCH","N","Y","Y",NA,NA,"1687-9368","1687-9376","1687-9368","1687-9376",0
"125",125,94,"specialist","INTERNATIONAL JOURNAL OF GEOHERITAGE AND PARKS","N","Y","Y",NA,NA,"2577-4441","2577-445X","2577-4441","2577-445X",0
"126",126,95,"specialist","INTERNATIONAL JOURNAL OF TOURISM RESEARCH","N","Y","Y",NA,NA,"1099-2340","1522-1970","1099-2340","1522-1970",0
"127",127,96,"specialist","INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH","N","Y","Y",NA,NA,"2095-6339",NA,"2095-6339",NA,1
"128",128,97,"specialist","INTERNATIONAL ZOO YEARBOOK","N","Y","Y",NA,NA,"1748-1090","0074-9664","1748-1090","0074-9664",0
"129",129,98,"specialist","JAPANESE JOURNAL OF CONSERVATION ECOLOGY","N","Y","Y",NA,NA,"1342-4327",NA,"1342-4327",NA,1
"130",130,99,"specialist","JOURNAL FOR NATURE CONSERVATION","Y","Y","Y","1617-1381","1618-1093","1617-1381",NA,"1617-1381","1618-1093",1
"131",131,100,"specialist","JOURNAL OF AGRO-ENVIRONMENT SCIENCE","N","Y","Y",NA,NA,"1672-2043",NA,"1672-2043",NA,0
"132",132,209,"specialist","JOURNAL OF APPLIED ECOLOGY","Y","N","Y","0021-8901","1365-2664","0021-8901","1365-2664","0021-8901","1365-2664",0
"133",133,210,"specialist","JOURNAL OF ASIA-PACIFIC BIODIVERSITY","Y","N","Y",NA,NA,"2287-884X","2287-9544","2287-884X","2287-9544",0
"134",134,101,"specialist","JOURNAL OF COASTAL CONSERVATION","N","Y","Y",NA,NA,"1400-0350","1874-7841","1400-0350","1874-7841",1
"135",135,102,"specialist","JOURNAL OF DEGRADED AND MINING LANDS MANAGEMENT","N","Y","Y",NA,NA,"2339-076X","2502-2458","2339-076X","2502-2458",0
"136",136,103,"specialist","JOURNAL OF DESIGN AND BUILT ENVIRONMENT","N","Y","Y",NA,NA,"1823-4208","2232-1500","1823-4208","2232-1500",0
"137",137,104,"specialist","JOURNAL OF DIGITAL LANDSCAPE ARCHITECTURE","N","Y","Y",NA,NA,"2367-4253","2511-624X","2367-4253","2511-624X",0
"138",138,105,"specialist","JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT","N","Y","Y",NA,NA,"1648-6897","1822-4199","1648-6897","1822-4199",0
"139",139,106,"specialist","JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY","N","Y","Y",NA,NA,"1311-5065",NA,"1311-5065",NA,0
"140",140,211,"specialist","JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE","Y","N","Y",NA,"1746-4269","1746-4269",NA,"1746-4269","1746-4269",0
"141",141,107,"specialist","JOURNAL OF FISH AND WILDLIFE MANAGEMENT","Y","Y","Y","1944-687X",NA,"1944-687X",NA,"1944-687X",NA,0
"142",142,108,"specialist","JOURNAL OF GREEN BUILDING","N","Y","Y",NA,NA,"1552-6100","1943-4618","1552-6100","1943-4618",0
"143",143,109,"specialist","JOURNAL OF INSECT CONSERVATION","N","Y","N",NA,NA,"1366-638X","1572-9753","1366-638X","1572-9753",1
"144",144,110,"specialist","JOURNAL OF LANDSCAPE ECOLOGY","N","Y","Y",NA,NA,"1589-4673",NA,"1589-4673",NA,0
"145",145,111,"specialist","JOURNAL OF LANDSCAPE ECOLOGY(CZECH REPUBLIC)","N","Y","Y",NA,NA,"1803-2427","1805-4196","1803-2427","1805-4196",0
"146",146,112,"specialist","JOURNAL OF MAMMALOGY","N","Y","Y",NA,NA,"0022-2372","1545-1542","0022-2372","1545-1542",0
"147",147,113,"specialist","JOURNAL OF MARINE AND ISLAND CULTURES","N","Y","Y",NA,NA,NA,"2212-6821",NA,"2212-6821",0
"148",148,114,"specialist","JOURNAL OF MOUNTAIN SCIENCE","N","Y","Y",NA,NA,"1672-6316","1993-0321","1672-6316","1993-0321",0
"149",149,NA,"specialist","Journal of Nanjing Forestry University (Natural Sciences Edition)",NA,"Y","Y",NA,NA,"1000-2006",NA,"1000-2006",NA,0
"150",150,212,"specialist","JOURNAL OF NATURAL HISTORY","Y","N","Y","0022-2933","1464-5262","0022-2933","1464-5262","0022-2933","1464-5262",0
"151",151,115,"specialist","JOURNAL OF NEW ZEALAND GRASSLANDS","N","Y","Y",NA,NA,"2463-2872","2463-2880","2463-2872","2463-2880",0
"152",152,NA,"specialist","Journal of Park and Recreation Administration",NA,"Y","Y",NA,NA,"0735-1968","2160-6862","0735-1968","2160-6862",0
"153",153,116,"specialist","JOURNAL OF PEOPLE, PLANTS, AND ENVIRONMENT","N","Y","N",NA,NA,"2508-7673","2508-7681","2508-7673","2508-7681",0
"154",154,117,"specialist","JOURNAL OF RANGELAND SCIENCE","N","Y","Y",NA,NA,"2008-9996","2423-642X","2008-9996","2423-642X",0
"155",155,118,"specialist","JOURNAL OF SOIL AND WATER CONSERVATION","N","Y","Y",NA,NA,"0022-4561","1941-3300","0022-4561","1941-3300",1
"156",156,119,"specialist","JOURNAL OF SUSTAINABLE REAL ESTATE","N","Y","Y",NA,NA,"1949-8276","1949-8284","1949-8276","1949-8284",0
"157",157,120,"specialist","JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS","N","Y","Y",NA,NA,"2333-5955","2333-5963","2333-5955","2333-5963",0
"158",158,121,"specialist","JOURNAL OF THE BOMBAY NATURAL HISTORY SOCIETY","N","Y","Y",NA,NA,"0006-6982",NA,"0006-6982",NA,0
"159",159,122,"specialist","JOURNAL OF THREATENED TAXA","N","Y","Y",NA,NA,"0974-7893","0974-7907","0974-7893","0974-7907",0
"160",160,123,"specialist","JOURNAL OF TOURISM AND CULTURAL CHANGE","N","Y","Y",NA,NA,"1476-6825",NA,"1476-6825",NA,0
"161",161,124,"specialist","JOURNAL OF TOURISM FUTURES","N","Y","Y",NA,NA,"2055-5911","2055-592X","2055-5911","2055-592X",0
"162",162,125,"specialist","JOURNAL OF WILDLIFE MANAGEMENT","N","Y","Y",NA,NA,"0022-541X","1937-2817","0022-541X","1937-2817",0
"163",163,126,"specialist","KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS","N","Y","Y",NA,NA,"1961-9502",NA,"1961-9502",NA,0
"164",164,213,"specialist","KOEDOE","Y","N","Y","0075-6458","2071-0771","0075-6458","2071-0771","0075-6458","2071-0771",0
"165",165,127,"specialist","LAND","N","Y","Y",NA,NA,NA,"2073-445X",NA,"2073-445X",0
"166",166,128,"specialist","LAND USE POLICY","N","Y","Y",NA,NA,"0264-8377",NA,"0264-8377",NA,0
"167",167,129,"specialist","LANDSCAPE AND ECOLOGICAL ENGINEERING","Y","Y","Y","1860-1871","1860-188X","1860-1871","1860-188X","1860-1871","1860-188X",0
"168",168,130,"specialist","LANDSCAPE AND URBAN PLANNING","N","Y","Y",NA,NA,"0169-2046",NA,"0169-2046",NA,0
"169",169,131,"specialist","LANDSCAPE ARCHITECTURE","N","Y","Y",NA,NA,"0023-8031",NA,"0023-8031",NA,0
"170",170,132,"specialist","LANDSCAPE ARCHITECTURE AND ART","N","Y","Y",NA,NA,"2255-8632","2255-8640","2255-8632","2255-8640",0
"171",171,133,"specialist","LANDSCAPE ECOLOGY","N","Y","Y",NA,NA,"0921-2973","1572-9761","0921-2973","1572-9761",0
"172",172,134,"specialist","LANDSCAPE HISTORY","N","Y","Y",NA,NA,"0143-3768","2160-2506","0143-3768","2160-2506",0
"173",173,135,"specialist","LANDSCAPE JOURNAL","N","Y","Y",NA,NA,"0277-2426","1553-2704","0277-2426","1553-2704",0
"174",174,136,"specialist","LANDSCAPE ONLINE","N","Y","Y",NA,NA,"1865-1542",NA,"1865-1542",NA,0
"175",175,137,"specialist","LANDSCAPE RESEARCH","N","Y","Y",NA,NA,"0142-6397","1469-9710","0142-6397","1469-9710",0
"176",176,138,"specialist","LANDSCAPES","N","Y","Y",NA,NA,"1492-9600",NA,"1492-9600",NA,0
"177",177,139,"specialist","LANDSCAPES (UNITED KINGDOM)","N","Y","Y",NA,NA,"1466-2035","2040-8153","1466-2035","2040-8153",0
"178",178,140,"specialist","LANDSCHAP","N","Y","Y",NA,NA,"0169-6300",NA,"0169-6300",NA,0
"179",179,141,"specialist","LIVING REVIEWS IN LANDSCAPE RESEARCH","N","Y","Y",NA,NA,"1863-7329",NA,"1863-7329",NA,0
"180",180,142,"specialist","MALAYAN NATURE JOURNAL","N","Y","Y",NA,NA,"0025-1291",NA,"0025-1291",NA,0
"181",181,214,"specialist","MANAGEMENT OF BIOLOGICAL INVASIONS","Y","N","Y","1989-8649",NA,NA,"1989-8649",NA,"1989-8649",0
"182",182,215,"specialist","MARINE BIODIVERSITY","Y","N","Y","1867-1616","1867-1624","1867-1616","1867-1624","1867-1616","1867-1624",0
"183",183,143,"specialist","MEMOIRS OF THE QUEENSLAND MUSEUM: CULTURAL HERITAGE SERIES","N","Y","Y",NA,NA,"1440-4788",NA,"1440-4788",NA,0
"184",184,144,"specialist","METABARCODING AND METAGENOMICS","N","Y","Y",NA,NA,NA,"2534-9708",NA,"2534-9708",0
"185",185,145,"specialist","MIRES AND PEAT","N","Y","Y",NA,NA,NA,"1819-754X",NA,"1819-754X",0
"186",186,146,"specialist","NAKHARA: JOURNAL OF ENVIRONMENTAL DESIGN AND PLANNING","N","Y","Y",NA,NA,"2672-9016","2651-2416","2672-9016","2651-2416",0
"187",187,147,"specialist","NATUR UND LANDSCHAFT","N","Y","Y",NA,NA,"0028-0615",NA,"0028-0615",NA,0
"188",188,148,"specialist","NATURAL AREAS JOURNAL","N","Y","Y",NA,NA,"0885-8608",NA,"0885-8608",NA,0
"189",189,217,"specialist","NATURAL HISTORY","Y","N","Y","0028-0712",NA,"0028-0712",NA,"0028-0712",NA,0
"190",190,NA,"specialist","Natural Resource Management and Policy",NA,"Y","Y",NA,NA,"0929-127X","2511-8560","0929-127X","2511-8560",0
