"study.id","publication.year","publication.title","journal.name","ab_clean","doi_clean","source","mykey","word_count","sd","ave_sentiment","word_class","sent_class","strat_class","flag_sample"
4816,2012,"Postrelease movements of captive-reared Ozark hellbenders (<i>Cryptobranchus alleganiensis bishopi</i>)","Herpetologica","Postrelease movements can determine the success of wildlife translocations. We monitored movements of 36 captive-reared Ozark Hellbenders (Cryptobranchus alleganiensis bishopi) released to augment wild populations at two sites on the North Fork of the White River (Missouri, USA). We used radiotelemetry to collect 3610 Hellbender locations from May 2008 to August 2009. We quantified movements at multiple spatio-temporal scales and made comparisons between two seasons of monitoring (1 = release-December 2008; 2 = January 2009-August 2009). At the finest (daily) scale, most Hellbenders (90%-94% per season) were highly sedentary (=50 of observations indicated no movement). Typical distances between daily locations when Hellbenders moved were 20 m between daily locations, and virtually all (34 of 35) such movements occurred in Season 1. At a broader scale, home ranges of Hellbenders varied widely in Season 1 (range = 0.66-986.92 m2, n = 26), but in Season 2 averaged only 31.33 m2 (± 11.81 SE, n = 8) and 11.08 m2 (± 3.25 SE, n = 7) at respective sites. Among Hellbenders monitored long enough to exhibit settlement (estimation of a home range) 69% (18 of 26) dispersed =50 m from the point of release. We only noted mortality associated with dispersals >50 m at one site, when it coincided with abandonment of core habitat that was one-third as large as at the other site. At the broadest scale, 68% and 86% of Hellbenders settled in core habitat of respective release sites, and most had settled within 21 d postrelease (range = 0-49 d). Collectively, Hellbender movements indicated a short period of exploration followed by more permanent settlement and high site fidelity typical of wild conspecifics. Captive-reared juvenile Hellbenders may be well suited for translocation; however, the quality of habitat at fine scale (10-30 m2) and the extent of suitable habitat within release sites are important considerations. © 2012 by The Herpetologists' League, Inc.","10.1655/HERPETOLOGICA-D-11-00033.1","CE","CE_4816",271,0.253833382691066,0.119634873448784,"300","neutral","neutral_300",0
4817,2011,"Usefulness of volunteer data to measure the large scale decline of â€˜â€˜commonâ€™â€™ toad populations","Biological Conservation","Measuring a species decline is pivotal to evaluate their conservation status, but an accurate assessment of demographic trends requires observations collected across broad spatial and temporal scales. Volunteers can help to collect information over large scales, but their data may be affected by heterogeneity for sampling efforts and protocols, which may influence detection probability. Ignoring this issue may conduct to misleading conclusions. Here we show that data collected by different volunteer groups can be integrated with measures of sampling efforts, to obtain information on large scale demographic trends. We collected data on 33 common toad (Bufo bufo) populations across Italy for the period 1993-2010. We used two approaches (meta-analysis; analysis of average change in population size) to evaluate the overall demographic trend. We incorporated measures of volunteer sampling efforts into analyses, to take into account changes in detection probability. Toad abundance significantly declined in the last decade. From 2000 to 2010, 70% of populations showed a strong decline, and only 10% increased. Trends were heterogeneous among populations, but taking into account sampling effort reduced heterogeneity by 40%. We detected a 76% cumulative average decline of toad populations, despite an increasing mean sampling effort. The widespread toad decline rises concern for its future, also because the causes remain unclear. Volunteer data can be extremely useful to identify large scale population trends, if information on sampling effort are recorded and used to adjust counts. © 2011 Elsevier Ltd.","10.1016/j.biocon.2011.06.011","CE","CE_4817",227,0.329332070010977,0.0108051226003773,"250","neutral","neutral_250",0
4833,2012,"A place to call home: amphibian use of created and restored wetlands","International Journal of Ecology","Loss and degradation of wetland habitats are major contributing factors to the global decline of amphibians. Creation and restoration of wetlands could be a valuable tool for increasing local amphibian species richness and abundance. We synthesized the peer-reviewed literature addressing amphibian use of created and restored wetlands, focusing on aquatic habitat, upland habitat, and wetland connectivity and configuration. Amphibian species richness or abundance at created and restored wetlands was either similar to or greater than reference wetlands in 89% of studies. Use of created and restored wetlands by individual species was driven by aquatic and terrestrial habitat preferences, as well as ability to disperse from source wetlands. We conclude that creating and restoring wetlands can be valuable tools for amphibian conservation. However, the ecological needs and preferences of target species must be considered to maximize the potential for successful colonization and long-term persistence. © 2012 Donald J. Brown et al.","10.1155/2012/989872","CE","CE_4833",149,0.286886888376331,0.246033438910975,"150","neutral","neutral_150",1
4872,2011,"Anurans as biological indicators of restoration success in the greater Everglades ecosystem","Southeastern Naturalist","The Picayune Strand Restoration Project is being conducted as part of the Comprehensive Everglades Restoration Plan to restore hydrology and habitat in Southwest Florida. This study evaluated the success of the restoration activities by examining anuran species richness and relative abundance in relation to various restoration treatments, which included restored areas, un-restored areas, and natural wetlands. Anuran observations were conducted using nocturnal audible call surveys and dip netting. Univariate results indicated that: the lowest species richness and relative abundance values occurred within the un-restored areas, richness significantly increased in all restored areas relative to un-restored areas, abundance increased in some restored areas but not others, and highest richness and abundance were documented in the natural wetlands. Multivariate analysis confirmed these patterns and also indicated that the anuran species assemblages were significantly different between restoration treatments. Furthermore, the presence or absence of Lithobates sphenocephalus utricularius (Southern Leopard Frog), Gastrophryne carolinensis (Eastern Narrow-mouthed Toad), and Hyla femoralis (Pine Woods Treefrog) may be used to document restoration success or hydrologic disturbance, respectively. These findings suggest that the restoration activities can be effective and that anurans could be used as performance measures of restoration success.","10.1656/058.010.0404","CE","CE_4872",195,0.359686436669885,0.370122207546654,"200","neutral","neutral_200",0
4900,2011,"Elevated temperature clears chytrid fungus infections from tadpoles of the midwife toad, <i>Alytes obstetricans</i>","Amphibia-Reptilia","The amphibian chytrid fungus Batrachochytrium dendrobatidis (Bd) is sensitive to high temperature. Hence, exposing amphibians to high temperature may be a method to clear Bd infection. However, the effect of exposure to elevated temperature has never been tested in larval stages or temperate species. We experimentally exposed tadpoles of the toad Alytes obstetricans to low, medium and high temperatures and found that most, but not all, tadpoles lost the infection when exposed to temperatures higher than 2°C for 5 days. Thus, exposure to elevated temperatures can be used to treat tadpoles against Bd infection. © 2011 Brill Academic Publishers.","10.1163/017353711X556970","CE","CE_4900",96,0.170718361712418,-0.0683865263257331,"150","neutral","neutral_150",0
4914,2012,"Effects of the disinfectant Virkin S on early life-stages of the moor frog (<i>Rana arvalis</i>)","Amphibia-Reptilia","Emerging diseases, such as the chytrid fungus Batrachochytrium dendrobatidis, contribute to global population declines of amphibians. Virkon S is one of the most commonly used disinfectants to reduce risk of spreading such pathogens. Virkon S is classified as harmful to aquatic organisms, but until today no negative effects on tadpoles have been reported. We studied the effects of three concentrations of Virkon S on early life-stages (embryos and hatchlings) of the moor frog Rana arvalis. Overall, Virkon S had no significant effects. However, hatching success was highest in the control treatment, suggesting that Virkon S may have weak negative effects on amphibian embryos. We suggest that further studies are needed to assess the negative effect of Virkon S on amphibians, and recommend that Virkon S is used with care and a minimized run-off into natural wetlands. © Koninklijke Brill NV, Leiden, 2012.","10.1163/15685381-00002837","CE","CE_4914",142,0.149417936550761,0.0154740135478046,"150","neutral","neutral_150",0
4915,2012,"Unlikely remedy: fungicide clears infection from pathogenic fungus in larval southern leopard frogs (<i>Lithobates sphenocephalus</i>)","PLoS ONE","Amphibians are often exposed to a wide variety of perturbations. Two of these, pesticides and pathogens, are linked to declines in both amphibian health and population viability. Many studies have examined the separate effects of such perturbations; however, few have examined the effects of simultaneous exposure of both to amphibians. In this study, we exposed larval southern leopard frog tadpoles (Lithobates sphenocephalus) to the chytrid fungus Batrachochytrium dendrobatidis and the fungicide thiophanate-methyl (TM) at 0.6 mg/L under laboratory conditions. The experiment was continued until all larvae completed metamorphosis or died. Overall, TM facilitated increases in tadpole mass and length. Additionally, individuals exposed to both TM and Bd were heavier and larger, compared to all other treatments. TM also cleared Bd in infected larvae. We conclude that TM affects larval anurans to facilitate growth and development while clearing Bd infection. Our findings highlight the need for more research into multiple perturbations, specifically pesticides and disease, to further promote amphibian heath. © 2012 Hanlon et al.","10.1371/journal.pone.0043573","CE","CE_4915",163,0.123887678850221,-0.0859815131376915,"200","neutral","neutral_200",0
4922,2012,"Temporal changes in the relative abundance of amphibians relative to riparian buffer width in western Washington, USA","Forest Ecology and Management","In certain regions of Canada and the United States, amphibians have been shown to be sensitive to forest management and the short-term adverse effects of timber harvesting on terrestrial amphibians have been well documented in the literature. However, the effects of silvicultural treatments on amphibians may not be realized until many years after treatment. Manipulative forest management experiments with pre- and post-treatment data, random assignment of replicates to treatments, and analyses over a large spatial scale are rare in the literature. Furthermore, even studies with pre- and post-treatment data can be affected by ecological time lags; the longevity of some species may mean that it could take several years to observe a treatment effect. Riparian areas in forested landscapes of the Pacific Northwest have been recognized for high species richness of amphibians yet little is known about the persistence of amphibians in mature forest fragments such as unharvested riparian buffers surrounded by clearcuts. Our study investigated the efficacy, 2 and 10. years post-logging, of two different riparian management zone prescriptions established around third- and fourth-order streams in western Washington to mitigate the effects of upland timber harvest on amphibians. Our findings suggest that there is no global response by terrestrial amphibians to logging or to the retention of riparian management zones. Rather, species showed individual responses that varied over time and between treatments and transects. Specifically Coastal Tailed Frogs (. Ascaphus truei) declined in clearcut upland habitats 2- and 10-years following logging while Western Red-backed Salamander (. Plethodon vehiculum) and Ensatina (. Ensatina eschscholtzii) appear to benefit from the recommended riparian management zone width. The influence of site effects was evident for some species, whereas for others there is some suggestion of treatment effects, but the analyses were confounded by patterns of natural population change at both local and regional scales, which were evident 2. years following logging. Our results exemplify the need for longer-term studies to ensure that potentially confounding factors, such as natural population fluctuation, are considered when interpreting the results of time series data. © 2012 Elsevier B.V..","10.1016/j.foreco.2012.02.015","CE","CE_4922",340,0.17561325628869,0.17134089520436,"350","neutral","neutral_350",0
4979,2011,"Developing a safe antifungal treatment protocol to eliminate <i>Batrachochytrium dendrobatidis</i> from amphibians","Medical Mycology","Batrachochytrium dendrobatidis is one of the most pathogenic microorganisms affecting amphibians in both captivity and in nature. The establishment of B. dendrobatidis free, stable, amphibian captive breeding colonies is one of the emergency measures that is being taken to save threatened amphibian species from extinction. For this purpose, in vitro antifungal susceptibility testing and the development of efficient and safe treatment protocols are required. In this study, we evaluated the use of amphotericin B and voriconazole to treat chytridiomycosis in amphibians. The concentration at which the growth of five tested B. dendrobatidis strains was inhibited was 0.8 µg/ml for amphotericin B and 0.0125 µg/ml for voriconazole. To completely eliminate a mixture of sporangia and zoospores of strain IA042 required 48 h of exposure to 8 µg/ml of amphotericin B or 10 days to 1.25 µg/ml of voriconazole. Zoospores were killed within 0.5 h by 0.8 µg/ml of amphotericin B, but even after 24 h exposure to 1.25 µg/ml of voriconazole they remained viable. Amphotericin B was acutely toxic for Alytes muletensis tadpoles at 8 µg/ml, whereas toxic side effects were not noticed during a seven-day exposure to voriconazole at concentrations as high as 12.5 µg/ml. The voriconazole concentrations remained stable in water during this exposure period. On the basis of this data, experimentally inoculated postmetamorphic Alytes cisternasii were sprayed once daily for 7 days with a 1.25 µg/ml solution of voriconazole in water which eliminated the B. dendrobatidis infection from all treated animals. Finally, treatment of a naturally infected colony of poison dart frogs (Dendrobatidae) using this protocol, combined with environmental disinfection, cleared the infection from the colony. © 2011 ISHAM.","10.3109/13693786.2010.508185","CE","CE_4979",265,0.200902415827474,-0.010951379239817,"300","neutral","neutral_300",0
5009,2012,"Soil bioaugmentation with amphibian cutaneous bacteria protects amphibian hosts from infection by <i>Batrachochytrium dendrobatidis</i>","Biological Conservation","Amphibians worldwide are declining in part due to the disease chytridiomycosis caused by the cutaneous fungal pathogen Batrachochytrium dendrobatidis (Bd). While several experimental disease mitigation strategies are currently being tested, no proven implementable strategy exists to combat chytridiomycosis in the field. A plausible conservation strategy is the use of probiotic anti-. Bd bacteria to combat chytridiomycosis (bioaugmentation). In this study, we examined the use of soil bioaugmentation in mitigation of chytridiomycosis in a laboratory experiment. Specifically, we sought to determine if the anti-. Bd bacterial species Janthinobacterium lividum could be successfully introduced into natural soil, if the introduced bacteria could then be transmitted to the skin of the amphibian species Plethodon cinereus, and if the environmental transmission of J. lividum could reduce Bd infection on P. cinereus. We demonstrated that J. lividum can be successfully introduced into soil and can be environmentally transmitted to P. cinereus skin. We found that the environmental transmission of J. lividum inhibited colonization by Bd on the skin of P. cinereus five days post-. Bd exposure. Soil bioaugmentation may be a feasible conservation strategy that could protect amphibians susceptible to chytridiomycosis from declines driven by the disease. © 2012 Elsevier Ltd.","10.1016/j.biocon.2012.03.022","CE","CE_5009",194,0.266537802229964,-0.0313713515341727,"200","neutral","neutral_200",0
5023,2012,"Characterizing movement patterns and spatio-temporal use of under-road tunnels by long-toed salamanders in Waterton Lakes National Park, Canada","Copeia","Linnet Lake (Waterton Lakes National Park, Alberta) is the breeding site of a population of Long-toed Salamanders (Ambystoma macrodactylum) that has decreased dramatically over the last 15 years, partially due to vehicle-caused mortality occurring on an adjacent road. In May 2008, Parks Canada installed four amphibian tunnels under this road. We installed drift fences to direct salamanders toward tunnel entrances and monitored tunnel use with pitfall traps in 2008 and 2009. We used logistic regressions and Akaike's Information Criterion (AIC) to determine if probability of tunnel use differed among individual salamanders. Salamander road mortality decreased from 10 of the population to <2 following installation of tunnels and fences. In 2009, 104 salamanders were documented using tunnels. Salamanders were 20 times more likely to use tunnels when traveling to the breeding site than when leaving the site. Distance from tunnel entrances, sex, and body size did not have significant effects on tunnel use by salamanders. Although salamander movement was positively correlated with occurrence of precipitation, this relationship was much stronger when salamanders were leaving the breeding site. Variation in use between the four tunnels was positively correlated with soil moisture of surrounding habitat. Continued monitoring will be needed to determine if tunnel use by Long-toed Salamanders increases through time, and if decreased road mortality translates into population gains. © 2012 by the American Society of Ichthyologists and Herpetologists.","10.1643/CE-10-128","CE","CE_5023",219,0.198467442395478,0.0493505285962104,"250","neutral","neutral_250",0
5035,2012,"Effects of short-rotation controlled burning on amphibians and reptiles in pine woodlands","Forest Ecology and Management","Fire is being used increasingly as a forest management tool throughout North America, but its effects on reptiles and amphibians in many ecosystems are unclear. Open woodlands with understories dominated by herbaceous vegetation benefit many wildlife species, but maintaining these woodlands requires frequent burning. Although many studies have compared herpetofaunal responses in burned forests to unburned forests, fewer studies have examined changes in the herpetofaunal community during the interval between short-rotation prescribed burns. We examined changes in habitat and relative abundance of reptiles and amphibians each year within a 3-year burn cycle in nine restored pine woodlands of western Arkansas, USA. Overall numbers of reptiles did not change among the three burn years; however, capture rates for one snake species (southern black racer [. Coluber constrictor priapus]) and three lizards differed among the three post-burn years. Overall capture rate for anurans and all amphibians combined was greatest the first year after burning, mostly because captures of dwarf American toads (Bufo americanus charlessmithi) were substantially greater in stands the first year after burning. Salamander captures were infrequent. Capture rates of most reptile and amphibian species declined over the 3-year sampling period. Only minor changes in capture rate occurred among the 36 species we evaluated during the intervening years between frequent burns. Capture rates for only two species were lower the first year after fire. Although not all herpetofaunal species benefited from frequent fire, most species appeared to tolerate the frequent burning necessary for maintaining open pine woodlands in the Ouachita Mountains. © 2012.","10.1016/j.foreco.2012.02.004","CE","CE_5035",250,0.205422040640079,-0.0623839066174064,"250","neutral","neutral_250",0
5045,2012,"The role of forest harvesting and subsequent vegetative regrowth in determining patterns of amphibian habitat use","Forest Ecology and Management","Conservation of forest-dependent amphibians is dependent on finding a balance between timber management and species' habitat requirements. To examine the effect of short-term vegetative regrowth post-harvesting on amphibian habitat use, we studied the response of eight species (four forest specialists and four habitat generalists) to four forestry treatments (partial harvest, clearcut with coarse woody debris [CWD] removed, clearcut with CWD retained, and uncut control) over a 6-year period, using replicated experimental treatments in Maine, USA. Forest amphibians showed a strong negative response to clearcutting through the duration of the study, regardless of the presence of CWD, but only during the post-breeding season (i.e., summer). The spring breeding migrations of wood frogs and spotted salamanders to experimental pools were not affected by the forestry treatments. The use of partial cut treatments by forest amphibians differed between animals emerging from experimental pools (i.e., juvenile wood frogs and spotted salamanders), and animals originating from outside the experimental arrays (i.e., adults of all forest species, juvenile wood frogs and spotted salamanders). Animals emerging from our experimental pools showed no difference in the use of control and partial cut treatments, while all the other animals preferred control plots. In addition, we found a modest increase in the use of clearcuts over the 6. years following harvesting by juvenile wood frogs from experimental pools (from an 8-fold difference between forest and clearcut treatments in the first year post-clearcutting to a 3-fold difference during years 3-5). However, this increase was not significantly associated with vegetation regrowth. Forest specialists declined in abundance in all treatments beginning 2-3. years post-disturbance. Despite high yearly fluctuations in abundance, there was a shift in relative abundance towards habitat generalist species, most notably green frog juveniles. Most habitat generalist species were not affected by clearcutting or vegetative regrowth; however, we observed a lower use of clearcut treatments by green frogs starting 3. years post-harvesting, perhaps due to an increase in habitat resistance to movements associated with vegetative regrowth. These general patterns of habitat use were overridden at the local scale by site-specific variation in the use of forestry treatments, most evident in emigrating juvenile wood frogs. From a management standpoint, implementing broad silvicultural prescriptions could be a viable strategy in extensively forested landscapes, but local variation in habitat use has to be acknowledged when managers focus on a limited area. © 2012 Elsevier B.V.","10.1016/j.foreco.2012.01.027","CE","CE_5045",397,0.281944536196359,0.176847184810675,"350","neutral","neutral_350",0
