aid,case_study,title,author,journal,year,assigned_year,Threat_category_numeric,Threat_category_description,Response_category_numeric,Response_category_description,Notes,times_cited,impact_factor,ab_scopus,title_scopus,journal_scopus,doi_scopus
259,Bycatch,Direct evidence of the impact of longline fishery on mortality in the Black_footed Albatross,"Lebreton, J_D., Veran, S.",Bird Conservation International,2012,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Summary The incidental bycatch of seabirds in longline fisheries is one of the most striking examples of diffuse and incidental impact of human activities on vertebrate species. While there are various types of evidence of a strong impact of longline fisheries on seabirds, in particular albatrosses, the incidental bycatch mortality has never been directly linked to estimates of bycatch derived from on-board surveys. We develop a capture-recapture analysis which relates the annual probability of survival in the Black-Footed Albatross to the estimated absolute bycatch. By converting the absolute bycatch into an estimate relative to population size and using the theory of exploited populations, we show that survival probability decreases linearly with bycatch, and that the bycatch is underestimated by at least 50%, confirming suspicions based on reviews of the bycatch survey procedures, and raising further concerns about the impact of longline fisheries on seabirds. Copyright © BirdLife International 2012.",Direct evidence of the impact of longline fishery on mortality in the Black-footed Albatross Phoebastria nigripes,Bird Conservation International,10.1017/S0959270912000299
260,Bycatch,Hook Effects on Seabird Bycatch in The United States Atlantic Pelagic Longline Fishery,"Li, Y., Browder, J. A., Jiao, Y.",Bulletin of Marine Science,2012,NA,2,Threatening mechanism,4,Testing response,NA,NA,NA,"Recent studies suggest that use of circle hooks can reduce the incidental mortality of some marine fishes and sea turtles in longline fisheries. Analysis of data from the US National Marine Fisheries Service Pelagic Observer Program (POP ) revealed a significant hook effect on seabird bycatch. Our analysis focused on the three areas with highest seabird bycatch, the northeast US coast (60°W-71°W, 35°N-42°N), the Middle Atlantic Bight (71°W-82°W, 35°N-41°N), and the South Atlantic Bight (71°W-82°W, 30°N-35°N). We developed two generalized linear models to examine effects of four hook treatments, i.e., four combinations of hook type and size (8/0 J-hook, 9/0 J-hook, 16/0 circle hook, and 18/0 circle hook), on: (1) the probability of catching seabirds on a set and (2) the positive catch rate (i.e., number of seabirds per 1000 hooks in longline sets with at least one seabird caught). Results indicated that combinations of hook type and size significantly influenced the probability of catching seabirds in the United States Atlantic pelagic longline fishery. Use of the 8/0 J-hook led to the highest probability of catching a seabird. Use of circle hooks may significantly reduce seabird bycatch in the US Atlantic pelagic longline fishery, but its effectiveness may be confounded by other factors such as bait type, fishing location, season, and target species. Results of our study were limited by the small number of seabird captures in the POP data. © 2012 Rosenstiel School of Marine & Atmospheric Science of the University of Miami.",Hook effects on seabird bycatch in the United States Atlantic pelagic longline fishery,Bulletin of Marine Science,10.5343/bms.2011.1039
261,Bycatch,Bycatch susceptibility in pelagic longline fisheries: are albatrosses affected by the diving behaviour of medium_sized petrels,"JimŽnez, S., Domingo, A., Abreau, M., Brazeiro, A.",AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,2012,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Species of petrels and shearwaters with high diving ability could facilitate the catch of albatrosses in pelagic longline fisheries, because they retrieve bait to the surface from depths that albatrosses cannot reach. Once on the surface, large seabirds such as albatrosses can easily displace smaller species thus gaining access to baited hooks which increases their likelihood of getting caught. This paper evaluates the extent to which diving species (i.e. Procellaria aequinoctialis, Procellaria conspicillata and Puffinus gravis) increase the susceptibility of albatross to bycatch in pelagic longline fisheries. In 48 sets, attacks on baits were quantified. When more than one bird (of the same or different species) tried to attack the same bait this was defined as a multiple attack. There were 384 attacks on baits, of which 260 were made by a single individual and 124 by more than one. Multiple attacks were the largest source of bycatch of albatrosses (22 of 27 albatrosses whose attacks were observed). Of the baits attacked by albatrosses (n=244), 17% were indirectly facilitated by diving medium-sized petrels. Considering only the multiple attacks in which albatrosses participated (n=114), 36% were initiated by these medium-sized petrels. Eleven (41%) of the albatrosses captured, and whose attacks were observed, resulted from a diving medium-sized seabird species first having contacted the terminal tackle. This paper shows that medium-sized petrels, with a strong ability to dive, increase considerably the access to bait, and indirectly, the incidental bycatch of albatrosses. Observations made in the absence of mitigation measures also provide useful information to improve the performance of tori lines. Based on the seabird behaviour, it is recommended that tori lines should have a minimum aerial coverage of 50 m. © 2012 John Wiley & Sons, Ltd..",Bycatch susceptibility in pelagic longline fisheries: Are albatrosses affected by the diving behaviour of medium-sized petrels?,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/aqc.2242
262,Bycatch,Estimates of Total Seabird Bycatch by Atlantic Pelagic Longline Fisheries from 2003 to 2006,"Klaer, Neil L",Marine Fisheries Review,2012,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Results of recent seabird bycatch studies in the International Commission for the Conservation of Atlantic Tunas Convention Area were combined to estimate total seabird bycatch of pelagic longline fishing in the Atlantic Ocean, and bycatch per selected species. Available studies do not apply to the full spatial and temporal extent of the fishing effort, so assumptions were made to account for missing information. Over the 4 years from 2003 to 2006 the total seabird bycatch estimate was 48,500. Results indicate that about 57% of the pelagic longline seabird bycatch was albatrosses (Diomedea, Phoebastria, Thalassarche, Phoebetria spp.). This mortality is at a level to cause concern for the smaller and more vulnerable albatross |populations in the region. Variation in annual seabird bycatch was caused by variation in total fishing effort, and movement of effort away from areas of higher seabird bycatch rates.",Estimates of total seabird bycatch by Atlantic pelagic longline fisheries from 2003 to 2006,NA,NA
263,Bycatch,Estimates of seabird incidental catch by pelagic longline fisheries in the South Atlantic Ocean,"Yeh, Y_M, Huang, H_W, Dietrich, K. S, Melvin, E",Animal Conservation,2012,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Read the Commentaries on this Feature Paper: Finding the missing pieces: working to solve the fisheries bycatch puzzle; Next step for reducing seabird bycatch; Requisite improvements to the estimation of seabird by-catch in pelagic longline fisheries Response from the authors: Incidental catch of seabirds: strengthening observer programs and increasing cooperation The mortality of seabirds in fisheries has had a serious negative impact on many seabird populations, yet the extent of fishery-derived seabird mortality in pelagic longline fisheries, remains poorly understood. In this study, we analyze fishing effort and catch data of the Taiwanese distant-water longline tuna fleet - the largest fleet in the Atlantic Ocean. These data collected by fishery observers over a 5-year span include 61 trips involving 6181 observed sets of over 20 million hooks, where 198 seabirds were caught (23 of which were released alive). Most birds were caught in the South Atlantic, with estimated seabird bycatch rates ranging from 0.026 birds per thousand hooks in the southwest Atlantic to 0.063 birds per thousand hooks in the southeast Atlantic. Black-browed, Atlantic yellow-nosed, and wandering albatrosses, as well as spectacled and southern giant petrels, were the most frequently caught species. Seabird bycatch hotspots were identified at 20°-40°S/10°W-15°E and 35°-45°S/45°-55°W. In the South Atlantic Ocean, generalized additive models indicated that fishing location and the number of birds sighted significantly influenced seabird bycatch rates. Extrapolating these spatially and temporally explicit seabird bycatch rates to the fishing effort data of other distant-water longline fleets and extrapolating the bycatch rates reported in the literature to the reported fishing effort of coastal nation fleets, we estimate the total seabird incidental mortality from pelagic longline fishing in the southern Atlantic Ocean to be between 3446 and 6083 birds per year from 2004 to 2008. These findings support proposals calling for the required use of best-practice mitigation measures by all pelagic longline vessels operating in seabird bycatch hotspots in the South Atlantic Ocean. International cooperation on research and data sharing is critical to ensure the sustainability of seabird populations and fisheries. © 2012 The Authors. Animal Conservation © 2012 The Zoological Society of London.",Estimates of seabird incidental catch by pelagic longline fisheries in the South Atlantic Ocean,Animal Conservation,10.1111/j.1469-1795.2012.00588.x
264,Bycatch,Risk assessment and relative impact of Uruguayan pelagic longliners on seabirds,"JimŽnez, Sebasti‡n, Domingo, AndrŽs, Abreu, Martin, Brazeiro, Alejandro",Aquatic Living Resources,2012,NA,2,Threatening mechanism,0,No response,NA,NA,NA,"Bycatch in longline fisheries is considered one of the main threats for the conservation of albatrosses and petrels worldwide. However, the relative impact of fisheries on all the affected populations or species still remains poorly understood. This paper applied a Productivity and Susceptibility Analysis (PSA) and the concept of ""Potential Biological Removal Level"" (PBR) to assess the relative impact caused by the Uruguayan pelagic longline fishery on several populations. This two-step approach allowed us to obtain an objective view of the relative impact of the Uruguayan pelagic longline fleet on most of the populations or species of albatrosses and petrels with high association with this fishery. Of fifteen species considered, fourteen were finally assessed and a ranking of risk derived. The concept of PBR was applied to the nine most at-risk species. The impact of fishing on populations could not be straightforwardly inferred from their bycatch rates. Results indicate that large albatrosses (Diomedea spp.) and Thalassarche chlororhynchos are more affected than some of the main species caught by the fishery (i.e. Thalassarche melanophrys and Procellaria aequinoctialis). Diomedea exulans from South Georgia is likely to be the population most affected by the Uruguayan fleet. This work should be seen as a case study of the fisheries operating in the southwestern Atlantic. The Uruguayan fleet within its operation area was responsible for only the 4.3% to 12.5% of the total annual effort deployed by the different fleets during 2004-2008. The combined impact of these fleets could be sufficiently high to account for many of the observed declines in the populations of D. exulans, D. dabbenena and T. chlororhynchos. However, the seabird bycatch numbers for most of the pelagic longline fleets that operate in the southwest Atlantic remain unknown. Applying mitigation measures to reduce the impact of pelagic longline fleets operating in this region should be considered a high priority. ©2012 EDP Sciences, IFREMER, IRD.",Risk assessment and relative impact of Uruguayan pelagic longliners on seabirds,Aquatic Living Resources,10.1051/alr/2012026
265,Bycatch,The management of the distant water tuna fishery in Taiwan,"Ting, Huan_Kuo, Ou, Ching_Hsiewn, Liu, Wen_Hong",marine Policy,2012,NA,4,Underlying driver of threat,0,No response,NA,NA,NA,"Since the 1960s Taiwan has been a significant player in the global distant water tuna fisheries (DWTF). However, Taiwan's lack of political recognition has led some fisheries businesses to employ less conventional methods including Flags of Convenience (FOCs) in harvesting tuna resources. Meanwhile, Taiwan has been experiencing the painful cost of readjusted DWTF policies. This paper compares the readjusted policies in accordance with international management instruments and tuna compliance requirements (Compliance Agreement and UNFSA) and domestic laws are already undergoing adjustments to take these into account. This again demonstrates Taiwan's unique position in the international community: despite it not being a member of the United Nations, Taiwan spares no effort to ensure the sustainability of marine resources, and does its utmost to fulfill the responsibilities and duties of a Flag State. © 2012 Elsevier Ltd.",The management of the distant water tuna fishery in Taiwan,Marine Policy,10.1016/j.marpol.2012.03.009
266,Bycatch,Safe Leads for safe heads: safer line weights for pelagic longline fisheries,"Sullivan, B J, Kibel, P, Robertson, G, Kibel, B, Goren, M, Candy, S G, Wienecke, B",Fisheries Research,2012,NA,4,Underlying driver of threat,4,Testing response,NA,NA,NA,"In many pelagic longline fisheries around the world there is reluctance to adopt a line weighting regime that will sink fishing gear rapidly to reduce seabird bycatch. In many cases this is due to safety concerns caused by traditional leaded swivels causing serious injuries, and even fatalities, when they fly-back at the crew in the event of line breakage (e.g. from shark bite offs) during line hauling. This paper presents the results of at-sea and on-shore trials to test the safety and operational effectiveness of an alternative line weight (the Safe Lead) which is designed to slide down, or off the line, in the event of a bite-off, significantly reducing danger to the crew from line weights. At-sea trials in South Africa revealed that Safe Leads can reduce the incidence of dangerous fly-backs to very low levels. In at-sea trails, only 4.2% of Safe Lead fly-backs reached the vessel (the remainder fell in the sea) whereas 73.3% of fly-backs by leaded swivels hit the vessel and one hit a crewmen in the head. Simulated bite-off events on shore revealed the degree of slippage (influences whether leads slide but remain on the branch line, or slide off the end of the line) varied as a function of distance from Safe Lead to hook (1-4. m range) and tension on the line (20-120 kg range). All Safe Lead replicates placed within 2. m of the hook slid off the line under all four tension treatments. Under the higher tension categories of 80 kg and 120 kg, 80% of Safe Leads positioned 3. m from the hook position slid off the line after a simulated bite-off (cut-away). High speed photography of fly-backs showed a significant (P<0.05) reduction in the velocity on impact of Safe Leads compared to leaded swivels and an associated >80% reduction in kinetic energy on impact. Our results suggest that Safe Leads are a cost-effective and operationally simple alternative to traditional leaded swivels with significant benefits to crew safety. © 2012 Elsevier B.V.",Safe Leads for safe heads: Safer line weights for pelagic longline fisheries,Fisheries Research,10.1016/j.fishres.2012.07.024
278,Bycatch,Canadian fishery closures provide a large_scale test of the impact of gillnet bycatch on seabird populations,"Regular, Paul, Montevecchi, William, Hedd, April, Robertson, Gregory, Wilhelm, Sabina",Biology Letters,2013,NA,2,Threatening mechanism,4,Testing response,NA,NA,NA,NA,NA,NA,NA
279,Bycatch,"Reducing seabird bycatch in the South African joint venture tuna fishery using bird_scaring lines, branch line weighting and nighttime setting of hooks","Melvin, Edward F, Guy, Troy J, Read, Lorraine B",Fisheries Research,2013,NA,2,Threatening mechanism,4,Testing response,NA,NA,NA,"We compared the performance of two bird-scaring line designs (light lines with short streamers vs. hybrid lines with a mix of long and short streamers) deployed in pairs with unweighted branch lines on two joint venture tuna vessels typical of distant-water tuna fisheries in the South Africa Exclusive Economic Zone (EEZ). We also added weight to a subset of branch lines, and compared the effects of line weighting and night vs. day setting in combination with bird-scaring lines on bird and fish catch rates. White-chinned petrels (Procellaria aequinoctialis), a diving seabird, dominated the seabird assemblage; they were the most numerous seabird and they attacked baited hooks and were killed at the highest rates. Secondary attacks - surface foraging albatrosses stealing baits from white-chinned petrels - drove albatross mortality. With hybrid scaring lines deployed, both diving and surface foraging seabirds made fewer attacks (1.5 and 2 times, respectively) within the lines' 100. m aerial extent, where hooks are closest to the surface and birds are most vulnerable to hooking, than with light lines. However, all metrics of comparison between hybrid and light lines were not statistically conclusive, primarily because birds could access baited hooks in areas beyond the protection afforded by bird-scaring lines (aft and to port of their aerial extent). Seabird bycatch rates were 4.6 times higher during daylight hours (2.00 birds/1000 hooks; 52 birds) than at night (0.439 birds/1000 hooks; 28 birds) and night catch rates near the full moon doubled. Bird catch rates were 18 times higher on unweighted branch lines (1.07/1000 hooks; 79 birds) than on weighted branch lines (0.06/1000 hooks; 1 bird) with no detectable effect on fish catch. With respect to streamer lines, our results suggest that in Procellaria petrel dominated systems the aerial extent of bird-scaring lines (of any design) should span the distance that baited hooks are within 10. m of the surface to effectively prevent bird attacks on baits. Overall, results suggest that night setting, adequate branch line weighting, and proper deployment of two bird-scaring lines have the potential to reduce seabird bycatch in pelagic longline fisheries without reducing the catch rates of target fishes. Further development of safe, fast-sinking branch line weighting configurations and bird-scaring lines less prone to tangling on fishing gear is critical to this effort. © 2013.","Reducing seabird bycatch in the South African joint venture tuna fishery using bird-scaring lines, branch line weighting and nighttime setting of hooks",Fisheries Research,10.1016/j.fishres.2013.04.015
280,Bycatch,"Seabird bycatch in the Argentinean demersal longline fishery, 2001?2010","Favero, Marco, Blanco, Gabriel, Copello, Sofia, Seco Pon, Juan Pablo, Patterlini, Carla, Mariano_Jelicich, Roc’o, Garc’a, Germ‡n, Ber—n, Mar’a Paula",Endangered Species Reseach,2013,NA,2,Threatening mechanism,0,No response,NA,NA,NA,NA,NA,NA,NA
281,Bycatch,Comparison of the effectiveness of paired and single tori lines for preventing bait attacks by seabirds and their bycatch in pelagic longline fisheries,"Sato, Noriyosi, Minami, Hiroshi, Katsumata, Nobuhiro, Ochi, Daisuke, Yokawa, Kotaro",Fisheries Research,2013,NA,2,Threatening mechanism,4,Testing response,NA,NA,NA,"To examine the effectiveness of the paired tori lines (PT) for reducing seabird bycatch in pelagic longline fisheries, bait attack behaviors during PT deployment was compared with that during single tori line (ST) deployment. Detailed observations of seabird species abundance and attacks on baits were conducted from a longliner operating in the western North Pacific from December 2010 to January 2011. Line settings alternated between ST and PT deployments. About 90% of the seabirds attending the vessel were Laysan albatrosses (Phoebastria immutabilis), and most attacks were by this species. Attacks occurred across broad areas from 25 to 200. m of the stern during ST deployments, whereas PT deployment resulted in few attacks within 75. m of the stern. The number of secondary attacks (birds charging for the bait brought to the surface by the bird making the primary attack) was significantly lower during PT than during ST deployment. These results suggest that PT performed better than ST in reducing bait attacks, and consequently seabird mortality. © 2012 Elsevier B.V.",Comparison of the effectiveness of paired and single tori lines for preventing bait attacks by seabirds and their bycatch in pelagic longline fisheries,Fisheries Research,10.1016/j.fishres.2012.11.007
