"STUDY_ID","REVIEWERS","INCLUDE","REVIEWERS.1","INCLUDE.1","STUDY_ID.1","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
"113","Darren","YES",NA,"not vetted","113","SAUNDERS D;WINTLE B;MAWSON R","2013","EGGLAYING AND RAINFALL SYNCHRONY IN AN ENDANGERED BIRD SPECIES IMPLICATIONS FOR CONSERVATION IN A CHANGING CLIMATE","BIOLOGICAL CONSERVATION","161","1-9","1-9","10.1016/j.biocon.2013.02.004","BIRDS USE A NUMBER OF ENVIRONMENTAL CUES TO TIME THEIR BREEDING SEASON TO MAXIMISE THEIR CHANCES OF RAISING YOUNG WHEN FOOD IS MOST ABUNDANT. SUCH CUES INCLUDE PHOTOPERIOD, TEMPERATURE AND RAINFALL. IN VERY ARID REGIONS, BIRDS MAY START EGG-LAYING WITH THE ONSET OF RAIN TO ALLOW FLEDGING TO COINCIDE WITH THE AVAILABILITY OF GRASS SEEDS. HOWEVER THE INFLUENCE OF RAINFALL ON TIMING OF EGG-LAYING IN AREAS WITH VARIABLE, BUT MORE RELIABLE, RAINFALL HAS NOT BEEN AS CLEAR. CARNABY'S COCKATOO, AN ENDEMIC SPECIES OF SOUTHWESTERN AUSTRALIA, A REGION WITH A MEDITERRANEAN CLIMATE, IS KNOWN COLLOQUIALLY AS ``THE RAINBIRD'' AS ITS MOVEMENTS TO THE BREEDING AREAS APPEAR TO COINCIDE WITH THE START OF THE WETTER PART OF THE YEAR. HERE WE USE A LONG-TERM DATA SET ON THE BREEDING OF THIS SPECIES (24 YEARS OF DATA FROM 1969 TO 2011) TO QUANTIFY THE LINK BETWEEN THE TIMING OF AUTUMN RAINS AND THE COMMENCEMENT OF EGG-LAYING IN THIS ENDANGERED COCKATOO. WE FOUND A TIGHT SYNCHRONY WHICH INDICATES A STRONG RELIANCE OF THE SPECIES ON EARLY AUTUMN RAINS AS A CUE FOR BREEDING. WE DESCRIBE THE CONSERVATION IMPLICATIONS OF INCREASED VARIABILITY IN TIMING AND QUANTITY OF RAINFALL FOR THE LONG-TERM VIABILITY OF CARNABY'S COCKATOO. (C) 2013 ELSEVIER LTD. ALL RIGHTS RESERVED."
"114","Darren","YES",NA,"not vetted","114","TONHATTI C;LOUVISE J;DE S A;DOS R S;LABORDA P","2014","DEVELOPMENT OF MICROSATELLITE LOCI FOR THE FISH POECILIA VIVIPARA CYPRINODONTIFORMES POECILIIDAE","CONSERVATION GENETICS RESOURCES","6","383-385","383-385","10.1007/s12686-013-0098-z","POECILIA VIVIPARA IS A SMALL FISH FOUND THROUGHOUT THE COASTAL LOWLANDS OF SOUTH AMERICA. WE REPORT THE ISOLATION AND CHARACTERIZATION OF 25 MICROSATELLITE LOCI IN THIS TROPICAL FISH. IN 24 INDIVIDUALS FROM TWO POPULATIONS, 18 LOCI WERE POLYMORPHIC. THE LOCI HAD 2-12 ALLELES, EXPECTED HETEROZYGOSITIES OF 0.194-0.836, OBSERVED HETEROZYGOSITIES OF 0.208-0.792, AND DISCRIMINATORY POWERS OF 0.202-0.872. FOUR LOCI SHOWED SIGNIFICANT DEVIATIONS FROM HARDY-WEINBERG EQUILIBRIUM. THE MICROSATELLITE LOCI WILL BE USEFUL FOR INVESTIGATING GENETIC DIVERSITY AND POPULATION GENETIC STRUCTURE, WHICH WILL CONTRIBUTE TO THE DEVELOPMENT OF EFFICIENT CONSERVATION PROGRAMS FOR COASTAL LOWLANDS WHERE P. VIVIPARA OCCURS."
"116","Darren","YES",NA,"not vetted","116","DENG H;JIM C","2017","SPONTANEOUS PLANT COLONIZATION AND BIRD VISITS OF TROPICAL EXTENSIVE GREEN ROOF","URBAN ECOSYSTEMS","20","337-352","337-352","10.1007/s11252-016-0596-3","GREEN ROOFS CAN CONTRIBUTE TO ENRICHMENT AND CONSERVATION OF URBAN ECOLOGY. AN EXPERIMENTAL GREEN ROOF WAS ESTABLISHED IN HUMID-TROPICAL HONG KONG TO MONITOR OVER TWO YEARS ITS SPONTANEOUS COLONIZATION BY PLANTS AND BIRD VISITS. SOME 94 VOLUNTARY VASCULAR PLANT SPECIES FROM 26 FAMILIES AND 76 GENERA WERE ESTABLISHED, WITH PROPAGULES BROUGHT MAINLY BY BIRDS AND WIND AND SECONDARILY INHERITED FROM SOIL SEED BANK. PLANT SPECIES COMPOSITION CHANGED DYNAMICALLY DURING THE STUDY PERIOD. THEY FALL INTO THREE GROUPS, NAMELY DOMINANT RUDERAL (HERBACEOUS AND SUB-SHRUB) AS SURROGATE OF EARLY-STAGE LOCAL GRASSLAND ECOSYSTEM SUCCESSION, ARBOREAL (TREES AND SHRUBS), AND HYGROPHILOUS HERB. PROGRESSIVE INCREASE IN VEGETATION COVER WAS ACCOMPANIED BY CHANGES IN SPECIES DIVERSITY AND EVENNESS. IN ADDITION, 16 BIRD SPECIES FROM 8 FAMILIES AND 14 GENERA WERE RECORDED. TEN SPECIES WERE RESIDENTS AND THE SIX MIGRANT SPECIES WERE WINTER VISITORS. THEIR FOOD PREFERENCE WAS MAINLY OMNIVORE AND INSECTIVORE. WINTER AND THE SECOND YEAR ENCOUNTERED HIGHER SPECIES RICHNESS, DIVERSITY, AND EVENNESS. MOST VEGETATION PARAMETERS CORRELATED POSITIVELY WITH AVIAN COMMUNITY INDEXES, SIGNIFYING PROVISION OF SUSTENANCE BY GREEN-ROOF ECOSYSTEM TO BIRDS. VEGETATION COVERAGE CORRELATED NEGATIVELY WITH AVIAN ABUNDANCE, DUE TO SHUNNING BY THE ABUNDANT GROUND-FORAGING TREE SPARROW. BOTH LOCAL COMMON RUDERAL PLANT SPECIES AND COMMON URBAN BIRD SPECIES CAN SUCCESSFULLY ESTABLISH AND REPRODUCE ON THE EXTENSIVE GREEN ROOF, CONFIRMING POTENTIALS FOR URBAN ECOLOGY AND BIODIVERSITY ENHANCEMENT AND CONSERVATION EVEN IN DENSELY-DEVELOPED URBAN AREAS. THE SUCCESSFUL NURTURING OF NATURALISTIC GREEN ROOF OFFERS NEW OPPORTUNITIES FOR GREEN ROOF DESIGN THAT DEVIATES FROM THE PREDOMINANT CULTIVATED-HORTICULTURAL APPROACH."
"117","Darren","NO",NA,"not vetted","117","GARSIDE D;GEBRIL A;ALSAADI M;FERRO V","2014","FERTILITY CONTROL IN WILDLIFE REVIEW OF CURRENT STATUS INCLUDING NOVEL AND FUTURE TECHNOLOGIES","REPRODUCTIVE SCIENCES IN ANIMAL CONSERVATION: PROGRESS AND PROSPECTS","753","467-488","467-488","10.1007/978-1-4939-0820-2\_18","OVERPOPULATION OF SELECTED GROUPS OF ANIMALS IS WIDELY RECOGNISED AS AN ISSUE THAT CAN HAVE ADVERSE EFFECTS ON SEVERAL CURRENT GLOBAL PROBLEMS, SUCH AS ANIMAL AND HUMAN HEALTH, CONSERVATION AND ENVIRONMENTAL CHANGES. THIS REVIEW WILL, THEREFORE, FOCUS ON RECENT NOVEL CONTRACEPTION TOGETHER WITH FUTURE TECHNOLOGIES THAT MAY PROVIDE ADDITIONAL CONTRACEPTIVE METHODS."
"120","Darren","YES",NA,"not vetted","120","SHULSE C;SEMLITSCH R;TRAUTH K","2013","MOSQUITOFISH DOMINATE AMPHIBIAN AND INVERTEBRATE COMMUNITY DEVELOPMENT IN EXPERIMENTAL WETLANDS","JOURNAL OF APPLIED ECOLOGY","50","1244-1256","1244-1256","10.1111/1365-2664.12126","RESTORED AND CONSTRUCTED HABITATS CAN PLAY IMPORTANT CONSERVATION ROLES. PREDATORS HELP SHAPE COMMUNITIES IN THESE HABITATS THROUGH COMPLEX INTERACTIONS WITH PREY, OTHER PREDATORS AND BIOTIC AND ABIOTIC CHARACTERISTICS OF THE ENVIRONMENT. HOWEVER, INTRODUCED PREDATORS CAN HAVE DRAMATIC EFFECTS THAT MAY BE DIFFICULT TO PREDICT. USING REGRESSION MODELS, WE COMPARED INFLUENCES OF INTRODUCED INVASIVE WESTERN MOSQUITOFISH GAMBUSIA AFFINIS TO THOSE OF TWO NATURALLY COLONIZING PREDATORS (CRAYFISH AND DRAGONFLIES), AND VEGETATION, ON THREE ANURAN SPECIES IN EXPERIMENTALLY CONSTRUCTED WETLANDS. USING ANALYSES OF COVARIANCE, WE ALSO EXAMINED INFLUENCES OF MOSQUITOFISH AND VEGETATION ON AQUATIC INVERTEBRATE COMMUNITIES. WE FOUND THAT MOSQUITOFISH REDUCED ABUNDANCES OF GREY TREEFROGS HYLA VERSICOLOR AND H.CHRYSOSCELIS AND BOREAL CHORUS FROG PSEUDACRIS MACULATA, BUT HAD NO SIGNIFICANT INFLUENCE ON GREEN FROG LITHOBATES CLAMITANS. MOSQUITOFISH ALSO REDUCED INVERTEBRATE ABUNDANCE, BUT THEIR EFFECT ON RICHNESS WAS LESS CLEAR. VEGETATION COVER DID NOT SIGNIFICANTLY INCREASE MOST ANURAN OR INVERTEBRATE ABUNDANCES. HOWEVER, VEGETATION INCREASED INVERTEBRATE RICHNESS. AFTER FISH REMOVAL, INVERTEBRATE ABUNDANCE INCREASED. FISH REMOVAL MAY HAVE FACILITATED CHORUS FROG RE-COLONIZATION INTO WETLANDS WITH LOW ABUNDANCE OF INVERTEBRATE PREDATORS. OUR RESULTS INDICATE THAT MOSQUITOFISH ARE DETRIMENTAL TO WETLAND COMMUNITIES, AND WE RECOMMEND THAT MANAGERS AVOID STOCKING MOSQUITOFISH. WE ALSO ENCOURAGE TEMPORARY OR DRAINABLE WETLANDS TO PREVENT MOSQUITOFISH PERSISTENCE IF COLONIZATION OCCURS. IMPLEMENTING THESE RECOMMENDATIONS WILL IMPROVE THE CONSERVATION POTENTIAL OF RESTORED WETLANDS."
"122","Darren","YES",NA,"not vetted","122","MCMILLAN M;SEMMENS J;HUVENEERS C;SIMS K;GILLANDERS B","2021","GROW OR GO ENERGETIC CONSTRAINTS ON SHARK PUP DISPERSAL FROMPUPPING AREAS","CONSERVATION PHYSIOLOGY","9",NA,NA,"10.1093/conphys/coab017","MANY SHARKS AND OTHER MARINE TAXA USE NATAL AREAS TO MAXIMIZE SURVIVAL OF YOUNG, MEANING SUCH AREAS ARE OFTEN ATTRIBUTED CONSERVATION VALUE. THE USE OF NATAL AREAS IS OFTEN LINKED TO PREDATOR AVOIDANCE OR FOOD RESOURCES. HOWEVER, ENERGETIC CONSTRAINTS THAT MAY INFLUENCE DISPERSAL OF YOUNG AND THEIR USE OF NATAL AREAS ARE POORLY UNDERSTOOD. WE COMBINED SWIM-TUNNEL RESPIROMETRY, CALORIMETRY, LIPID CLASS ANALYSIS AND A BIOENERGETICS MODEL TO INVESTIGATE HOWENERGY DEMANDS INFLUENCE DISPERSAL OF YOUNG IN A GLOBALLY DISTRIBUTED SHARK. THE SCHOOL SHARK (A.K.A. SOUPFIN, TOPE), GALEORHINUS GALEUS, IS CRITICALLY ENDANGERED DUE TO OVERFISHING AND IS ONE OF MANY SHARKS THAT USE PROTECTED NATAL AREAS IN AUSTRALIA. ENERGY STORAGE IN NEONATE PUPS WAS LIMITED BY SMALL LIVERS, LOW OVERALL LIPID CONTENT AND LOW LEVELS OF ENERGY STORAGE LIPIDS (E.G. TRIACYLGLYCEROLS) RELATIVE TO ADULTS, WITH ENERGY STORES SUFFICIENT TO SUSTAIN ROUTINE DEMANDS FOR 1.3-4 DAYS (MEAN +/- SD: 2.4 +/- 0.8 DAYS). HIGH LEVELS OF GROWTH-ASSOCIATED STRUCTURAL LIPIDS (E.G. PHOSPHOLIPIDS) AND HIGH ENERGETIC COST OF GROWTH SUGGESTED LARGE INVESTMENT IN GROWTH DURING RESIDENCY IN NATAL AREAS. RAPID GROWTH (SIMILAR TO 40\% IN LENGTH) BETWEEN BIRTH IN SUMMER AND DISPERSAL IN LATE AUTUMN-WINTER LIKELY INCREASED SURVIVAL BY REDUCING PREDATION AND IMPROVING FORAGING ABILITY. DELAYING DISPERSAL MAY ALLOW PRIORITIZATION OF GROWTH AND MAY ALSO PROVIDE ENERGY SAVINGS THROUGH IMPROVED SWIMMING EFFICIENCY AND COOLER AMBIENT TEMPERATURES (DAILY RATION WAS PREDICTED TO FALL BY AROUND A THIRD IN WINTER). NEONATE SCHOOL SHARKS ARE THEREFORE ILL-EQUIPPED FOR LARGE-SCALE DISPERSAL AND NEONATES RECORDED IN THE NORTHWEST OF THEIR AUSTRALIAN DISTRIBUTION ARE LIKELY BORN LOCALLY, NOT AT KNOWN SOUTH-EASTERN PUPPING AREAS. THIS SUGGESTS THE EXISTENCE OF PREVIOUSLY UNRECORDED SCHOOL SHARK PUPPING AREAS. INTEGRATED BIOENERGETIC APPROACHES AS APPLIED HERE MAY HELP TO UNDERSTAND DISPERSAL FROM NATAL AREAS IN OTHER TAXA, SUCH AS TELEOST FISHES, ELASMOBRANCHS AND INVERTEBRATES."
"125","Darren","YES",NA,"not vetted","125","LI C;CUI P;ZHOU S;YANG S","2018","HOW DO FARMLAND BIRD COMMUNITIES IN RURAL SETTLEMENTS RESPOND TO HUMAN RELOCATIONS ASSOCIATED WITH LAND SUBSIDENCE INDUCED BY COAL MINING IN CHINA","AVIAN CONSERVATION AND ECOLOGY","13",NA,NA,"10.5751/ACE-01164-130106","LARGE-SCALE UNDERGROUND COAL MINING HAS CREATED LARGE-AREA LAND SUBSIDENCE IN THE NORTH CHINA PLAIN, RESULTING IN DRASTIC HABITAT CHANGES FOR FARMLAND BIRDS. AMONG OTHERS, RELOCATION OF LOCAL RESIDENTS DUE TO LAND SUBSIDENCE MAY LEAD TO A REDUCTION IN HUMAN DISTURBANCE, AND ACCOMPANYING VEGETATION RECOVERY IN RURAL SETTLEMENTS. HOWEVER, IT REMAINS LARGELY UNKNOWN HOW FARMLAND BIRDS RESPOND TO THESE ENVIRONMENTAL CHANGES. DURING THE SUMMER OF 2016 AND WINTER OF 2016-2017, WE USED THE LINE TRANSECT METHOD TO QUANTIFY FARMLAND BIRD COMMUNITIES IN BOTH INHABITED AND RECENTLY ABANDONED VILLAGES IN THE HUAIBEI COAL MINING AREA IN THE NORTH CHINA PLAIN. WE HYPOTHESIZED THAT BIRD COMMUNITIES WOULD CHANGE IN TERMS OF ABUNDANCE, SPECIES DIVERSITY, AND COMPOSITION AS A RESPONSE TO HUMAN RELOCATIONS. WE ALSO EXPLORED RELATIVE EFFECTS OF REDUCTIONS IN HUMAN DISTURBANCE, AND ACCOMPANYING CHANGES IN VEGETATION. BOTH COVER AND VERTICAL DIVERSITY OF VEGETATION INCREASED FOLLOWING RELOCATIONS OF LOCAL RESIDENTS IN ABANDONED VILLAGES. BIRD ABUNDANCE, SPECIES RICHNESS, AND DIVERSITY WERE HIGHER IN THESE VILLAGES IN BOTH SUMMER AND WINTER. BIRD SPECIES COMPOSITION ALSO DIFFERED BETWEEN THE TWO VILLAGE TYPES IN BOTH SUMMER AND WINTER. COMPOSITIONAL DIFFERENCES IN BIRD COMMUNITIES WERE RELATED TO BOTH HUMAN DISTURBANCE AND VEGETATION STRUCTURE, BUT MORE TO THE LATTER. FARMLAND BIRDS POSITIVELY RESPONDED TO LOWER HUMAN DISTURBANCE, EVEN THOUGH THEY ARE WELL-ADAPTED TO THE DISTURBED AGRICULTURAL ENVIRONMENT. HOWEVER, THESE TEMPORARILY POSITIVE EFFECTS MAY DISAPPEAR IN THE NEAR FUTURE, GIVEN THE UPCOMING TRANSITION FROM TERRESTRIAL ECOSYSTEM INTO SUBSIDENCE PONDS BECAUSE OF CONTINUING UNDERGROUND COAL MINING. WE SHOULD FURTHER MONITOR CHANGES IN BIRD COMMUNITIES, AND EFFECTS OF COAL MINING AT A REGIONAL SCALE, RATHER THAN BEING TOO OPTIMISTIC ON TEMPORARILY POSITIVE EFFECTS OF LOCAL DISTURBANCE REDUCTION. WE PROVIDE A SMALL-SCALE BUT IMPORTANT CASE STUDY THAT MAY PROMPT URGENT ATTENTION TO FARMLAND BIRD COMMUNITIES IN LARGE-SCALE AGRICULTURAL LANDSCAPES IN CHINA."
"126","Darren","YES",NA,"not vetted","126","HARRISON P;YUAN Y;BUCKLAND C;ELSTON D;BREWER A;PEARCE-HIGGINS J","2016","QUANTIFYING TURNOVER IN BIODIVERSITY OF BRITISH BREEDING BIRDS","JOURNAL OF APPLIED ECOLOGY","53","469-478","469-478","10.1111/1365-2664.12539","A KEY ASPECT OF MONITORING REGIONAL CHANGES IN BIODIVERSITY IS TO QUANTIFY THE TEMPORAL TURNOVER IN COMMUNITIES. TURNOVER HAS TRADITIONALLY BEEN ASSESSED BY OBSERVING RANGE CHANGE. HOWEVER, WE ARE OFTEN INTERESTED IN TRENDS IN BIODIVERSITY OF LARGE REGIONS AS OPPOSED TO SINGLE SITES, AS WITH CONVENTION FOR BIOLOGICAL DIVERSITY TARGETS. EXTINCTIONS AND COLONIZATIONS TEND TO BE RARE EVENTS AT THE REGIONAL LEVEL; CHANGES IN SPECIES PROPORTIONS ESTIMATED FROM SPATIO-TEMPORAL MODELS OF SPECIES ABUNDANCE ARE THEN MORE SENSITIVE MEASURES OF COMMUNITY CHANGE. WE INVESTIGATED THREE MEASURES FOR QUANTIFYING TURNOVER BASED ON SPECIES PROPORTIONS, AND ESTIMATED HOW EACH VARIES ACROSS GREAT BRITAIN USING DATA FROM THE BRITISH TRUST FOR ORNITHOLOGY'S BREEDING BIRD SURVEY. ALL THREE MEASURES IDENTIFY HIGH TURNOVER ASSOCIATED WITH LOSS OF BIODIVERSITY IN THE SOUTH-EAST OF ENGLAND. THIS SEEMS TO BE DRIVEN BY CHANGES IN THE FARMLAND BIRD COMMUNITY, AND BY TURNOVER IN THE SCARCER SPECIES OF THE WOODLAND BIRD COMMUNITY. THE MEASURES ALSO SHOW EVIDENCE OF HIGH TURNOVER IN THE WEST OF SCOTLAND; THESE CHANGES MAY BE LINKED TO CLIMATE CHANGE, ALTHOUGH PRECISION IN OUR MEASURES FOR THIS REGION IS RELATIVELY POOR DUE TO LOW SURVEY EFFORT.POLICY IMPLICATIONS. TURNOVER IN ECOLOGICAL COMMUNITIES MAY BE QUANTIFIED BY MODELLING SPECIES ABUNDANCE, AND MEASURING HOW RESULTING SPECIES PROPORTIONS CHANGE OVER TIME. WHEN USED ALONGSIDE ESTIMATED TEMPORAL TRENDS IN BIODIVERSITY, THESE CAN IDENTIFY AREAS AND COMMUNITIES SHOWING GREATEST EVIDENCE FOR CHANGE. HOW, AND INDEED EVEN WHETHER, SOCIETY SHOULD RESPOND TO SUCH CHANGES DEPENDS ON FURTHER INVESTIGATION INTO THE CAUSES OF THE CHANGES, AND THE EXTENT TO WHICH THESE ARE SEEN AS UNDESIRABLE AND AVOIDABLE. FOR THOSE COMMUNITIES WITH ADEQUATE SURVEY DATA, WE RECOMMEND THAT THESE METHODS AUGMENT THE SUITE OF MEASURES USED FOR ROUTINE ASSESSMENT OF CHANGE, HENCE ACTING AS A MORE SENSITIVE TRIGGER TO SET IN MOTION EXPLORATION OF CAUSES AND CONSIDERATION OF ADAPTIVE ACTIONS TO BE TAKEN BY LAND MANAGERS AND POLICYMAKERS. TURNOVER IN ECOLOGICAL COMMUNITIES MAY BE QUANTIFIED BY MODELLING SPECIES ABUNDANCE, AND MEASURING HOW RESULTING SPECIES PROPORTIONS CHANGE OVER TIME. WHEN USED ALONGSIDE ESTIMATED TEMPORAL TRENDS IN BIODIVERSITY, THESE CAN IDENTIFY AREAS AND COMMUNITIES SHOWING GREATEST EVIDENCE FOR CHANGE. HOW, AND INDEED EVEN WHETHER, SOCIETY SHOULD RESPOND TO SUCH CHANGES DEPENDS ON FURTHER INVESTIGATION INTO THE CAUSES OF THE CHANGES, AND THE EXTENT TO WHICH THESE ARE SEEN AS UNDESIRABLE AND AVOIDABLE. FOR THOSE COMMUNITIES WITH ADEQUATE SURVEY DATA, WE RECOMMEND THAT THESE METHODS AUGMENT THE SUITE OF MEASURES USED FOR ROUTINE ASSESSMENT OF CHANGE, HENCE ACTING AS A MORE SENSITIVE TRIGGER TO SET IN MOTION EXPLORATION OF CAUSES AND CONSIDERATION OF ADAPTIVE ACTIONS TO BE TAKEN BY LAND MANAGERS AND POLICYMAKERS."
"127","Darren","YES",NA,"not vetted","127","MAHONEY J;KLUG P;REED W","2018","AN ASSESSMENT OF THE US ENDANGERED SPECIES ACT RECOVERY PLANS USING PHYSIOLOGY TO SUPPORT CONSERVATION","CONSERVATION PHYSIOLOGY","6",NA,NA,"10.1093/conphys/coy036","APPLYING PHYSIOLOGY TO HELP SOLVE CONSERVATION PROBLEMS HAS BECOME INCREASINGLY PROMINENT. IT IS UNCLEAR, HOWEVER, IF THE INCREASED INTEGRATION INTO THE SCIENTIFIC COMMUNITY HAS TRANSLATED INTO THE APPLICATION OF PHYSIOLOGICAL TOOLS IN CONSERVATION PLANNING. WE COMPLETED A REVIEW OF THE USE OF ANIMAL PHYSIOLOGY IN THE US FISH AND WILDLIFE SERVICE (USFWS) AND NATIONAL MARINE FISHERIES SERVICE (NMFS) ENDANGERED SPECIES ACT (ESA) RECOVERY PLANS RELEASED BETWEEN 2005 AND 2016. OVER THOSE 11 YEARS, 135 OF THE 146 RECOVERY PLANS MENTIONED PHYSIOLOGY, WITH 56\% INCLUDING IT AS BACKGROUND INFORMATION ON THE NATURAL HISTORY OF THE SPECIES AND NOT AS PART OF THE RECOVERY PROCESS. FISH AND BIRD SPECIES HAD THE LOWEST PROPORTION OF RECOVERY PLANS TO INCLUDE PHYSIOLOGY BEYOND THE DESCRIPTION OF THE NATURAL HISTORY. WHEN CONSIDERING MULTIPLE SUB-DISCIPLINES OF PHYSIOLOGY, IMMUNOLOGY AND EPIDEMIOLOGY WERE INCORPORATED AS PART OF THE RECOVERY PROCESS MOST OFTEN. OUR REVIEW SUGGESTS A DISCONNECT BETWEEN AVAILABLE PHYSIOLOGICAL TOOLS AND THE POTENTIAL ROLE OF PHYSIOLOGY IN DEVELOPING CONSERVATION PLANS. WE PROVIDE THREE SUGGESTIONS TO FURTHER GUIDE CONSERVATION SCIENTISTS, MANAGERS AND PHYSIOLOGISTS TO WORK SYNERGISTICALLY TO SOLVE CONSERVATION PROBLEMS: (1) THE BREADTH OF KNOWLEDGE WITHIN A RECOVERY PLAN WRITING TEAM SHOULD BE INCREASED, FOR EXAMPLE, THROUGH INCREASED TRAINING OF FEDERAL SCIENTISTS IN NEW PHYSIOLOGY METHODOLOGIES AND TOOLS OR THE INCLUSION OF AUTHORS IN ACADEMIA THAT HAVE A BACKGROUND IN PHYSIOLOGY; (2) PHYSIOLOGISTS SHOULD MAKE THEIR RESEARCH MORE AVAILABLE TO CONSERVATION SCIENTISTS AND FEDERAL AGENCIES BY CLEARLY LINKING THEIR RESEARCH TO CONSERVATION AND (3) COMMUNICATION SHOULD BE ENHANCED BETWEEN GOVERNMENT CONSERVATION SCIENTISTS AND PHYSIOLOGISTS."
"128","Darren","YES",NA,"not vetted","128","DENIAU C;MATHEVET R;GAUTIER A;CORNU G;LE B S","2022","FLYWAYS TO HELL AN EMPIRICAL ASSESSMENT OF PALEARCTIC MIGRATORY WATERBIRD HARVEST PRACTICES IN KEY WETLANDS OF SAHELSUBSAHARAN AFRICA","BIOLOGICAL CONSERVATION","265",NA,NA,"10.1016/j.biocon.2021.109419","EACH YEAR, MILLIONS OF PALEARCTIC WATERBIRDS MIGRATE BETWEEN EURASIA AND THE WINTERING WETLANDS OF THE SAHELSAHARA REGION. INTERNATIONAL CENSUSES SHOW THESE POPULATIONS ARE DECLINING. ALTHOUGH HUNTING IS RECOGNISED AS THE SECOND CAUSE OF DECLINE AFTER HABITAT DEGRADATION ALONG FLYWAYS, WATERBIRD HARVESTING IN THE AFRICAN WINTERING REGION REMAINS OVERLOOKED. TO FILL THIS INFORMATION GAP, WE CONDUCTED A HUNTING SURVEY IN THE SEVEN MAIN SAHEL-SAHARAN WETLANDS DURING THE WINTERING SEASON. BASED ON A SOCIOECONOMIC, KNOWLEDGE AND OFF-TAKE QUESTIONNAIRE, WE ESTIMATED AN ANNUAL HARVESTING LEVEL PROXY PER RESPONDENT. THE RESULTS INDICATED THAT WATERBIRD HARVESTING IS A WIDESPREAD PRACTICE IN THE RESEARCH AREAS. BASED ON SITE, HARVESTING OCCURRED FROM OPPORTUNISTIC AND FOOD OFF-TAKE TO SPECIALISED AND COMMERCIAL HUNTING. RALLIDAE AND ANATIDAE WERE THE TARGETED FAMILIES, AND AFROTROPICAL SPECIES WERE MORE HUNTED THAN PALEARCTIC SPECIES. MOREOVER, MOST OF THE TARGETED SPECIES HAD A ``LEAST CONCERN'' STATUS IN THE IUCN RED LIST OF THREATENED SPECIES. DESPITE THE HIGH HARVESTING LEVELS OF THE MALIAN AND EGYPTIAN SITES, THE TOTAL OFF-TAKE SEEMED TO OCCUR AT A LOWER LEVEL THAN AT SITES IN EUROPE. THIS FIRST SURVEY CONDUCTED ON THIS SCALE UNDERLINED THAT MIGRATORY WATERBIRDS REPRESENT ONLY A LIMITED PART OF THE FOOD OR INCOME OF THE SAHEL-SAHARAN HUMAN POPULATION. IN ORDER TO SECURE BOTH SUSTAINABLE HARVESTING AND ENVIRONMENTAL JUSTICE, INTERNATIONAL CONSERVATION EFFORTS AT THE FLYWAY LEVEL SHOULD IMPLEMENT A MEANINGFUL INTEGRATION OF SAHEL-SAHARAN POPULATION CULTURAL AND SUBSISTENCE NEEDS AND SHOULD ENGAGE ALL COUNTRIES IN A COLLABORATIVE CONSERVATION AND MANAGEMENT APPROACH ACROSS THE ENTIRE MIGRATORY RANGE."
